question,answer
 ұлы отан соғысында ерлік көрсеткен 48 атқыштар дивизиясының мергені , д шыныбеков
ұлы отан соғысында жау отын өз кеудесімен жапқан қазақ батыры ,сұлтан баймағамбетов 
ұлы отан соғысында жаудың 37 ұшағын атып түсірген ұшқыш ,с луганский
ұлы отан соғысында кеңес одағының батыры атағын алған қазақстандықтар саны ,500 
ұлы отан соғысында кеңес одағының батыры атағына ие болған қазақ қызы , 2 қыз 
ұлы отан соғысында қазақстандықтар арасынан бірінші болып жанған ұшағын жау тобына бағыттаған ,б бейсекбаев
ұлы отан соғысында қанша қазақ қызы кеңес одағының батыры атағына ие болды ,2
 ұлы отан соғысында қызыл армия қатарында қанша қазақстандықтар болды , 1 млн 200 мың 
 ұлы отан соғысында москва түбіндегі шайқаста ерлік көрсетіп қаза тапқан қазақ жігіті кім , т тоқтаров 
ұлы отан соғысында одақ бойынша 11600 ден аса адам ерлігі үшін кеңес одағының батыры атанды соның ішінде қанша қазақстандық батыр атағына ие болды ,497
ұлы отан соғысында сталинград қаласының түбінде ерлікпен қаза тапқан минометші кеңес одағының батыры ,қ сыпатаев 
ұлы отан соғысында сталинградты қорғауға қатысқан екі даңқ ордені иегері кеңес одағының батыры ,і айтықов
 ұлы отан соғысында түбегейлі бетбұрысқа шешуші үлес қосқан еділдегі шайқас , сталинград шайқасы 
ұлы отан соғысындағы атақты қазақ партизаны кейін халық қаһарманы атағын алған ,қасым қайсенов
ұлы отан соғысындағы қазақстандық партизандардың жауынгерлік саны ,35мың адам 
ұлы отан соғысындағы партизандық козғалысының көрнекті өкілі жазушы ,қ қайсенов
ұлы отан соғысының аты аңызға айналған батыры халық қаһарманы ,бауыржан момышұлы
ұлы отан соғысының басында социалистік жарыска қанша қыз келіншек қатысты ,45 мың 
ұлы отан соғысының басында социалистік жарысқа қыз келіншек қатысты ,10 мыңнан астам 
ұлы отан соғысының қарсаңында қазақстанда ,118 орта арнаулы оқу орны жұмысістеді 
ұлы отан тақырыбына жазған шығармалары оқырман көңілінен шыққан жазушы ,б момышұлы
ұлы украин ақыны шевченко қазақ жерінде айдауда болды ,1847 1857 жылдары 
ұлы хан атағын алған үгедей тұрған қала ,қарақорым
ұлы хан атағын алғаннан кейін үгедей тұрған қала ,қарақорым 
ұлы хан болат қайтыс болғаннан кейін таққа таласты ,әбілқайыр мен сәмеке
 ұлыс құралды арыстан ұлыстардың ішкіістерін жүргізгендер лауазымы , шерби 
ұлыстары қазақстан жерін қамтыған шыңғысхан ұрпақтары ,жошы үгедей шағатай
ұлыстың жері мен халқының көбі қыпшақ болғандықган қыпшақ хандығы деп аталған ,әбілқайыр хандығы
ұлытау ауданындағы қаракеңгір өзенінің жағасында салынған кесене ,алаша хан кесенесі
ұлытау етегіндегі ортағасырлық қалалар ,басқамыр аяққамыр
ұлытау жеріндегі ортағасырлық х хіі ғасыр қалалар ,басқамыр аяққамыр
ұрұс ханның маңғыстау билеушісі түй қожаны жазалау себебі ,сарай қаласын басьш алуға кемектеспегені үшін
ұрыс хан 1368 1369 жылдары теңге соқтырған қала ,сығанақ
ұрыс хан қайтыс болды ,1376
 ұшыр қағанаты өмір сүрген кезең , 745 840 жж 
 ұшыр баж харадж салықтарын төледі , егіншілер мен қолөнершілер 
 ұшыраған шаруашылық саласы , мал шаруашылығы
үгедей ұлысы қай жылы жойылды ,1251 ж 
үгедей ұлысы ,батыс моңголия мен алтай тарбағатай ертістің жоғарғы ағысы 
үгедей ұлысы ,1251 ж жойылды
үгедей ұлысына қараған жер ,батыс монғолия алтай тарбағатай
үйсін атауы қытай жазбаларында кездеседі ,б з б 2 ғасырдан бастап 
үйсін атауының қытай жазбаларында кездесе бастауы ,б з б 2 ғасыр
үйсін гуньмосына бағынған тайпа көсемдері атауы ,бек
үйсін қоғамында дәулетті адамдардың киімі көбінесе тігілді ,жібектен
 үйсін қоғамындағы қатардағы адамдардың мөрлері , балшық және тастан жасалды
үйсін мәдениеті деп аталатын ескерткіштердің негізінен шоғырланған өңірі ,жетісу
үйсін мәдениеті ерскерткіштерінің негізінен шоғырланған өңірі ,жетісу
 үйсін мәдениеті ескерткіштерінің негізгі шоғырланған өңірі , жетісу
үйсін мәдениетінің хронологиялық ауқымы ,7 ғасырдай уақыт
үйсін мемлекеті басшысының лауазымы ,гуньмо 
үйсін мемлекеті бөлінді ,3 бөлікке 
үйсін обаларының ең үлкенінің ,диаметрі 20 метр ал биіктігі 2 метрге жуық 
үйсін тайпалары қай тілде сейледі ,ежелгі түрік 
үйсін тайпаларының мекендеген жері ,жетісу 
үйсін тайпаларының тілі ,ежелгі түрік көне түркі 
 үйсін атауы қытай жазбаларында алғаш кездеседі , б з б 2 ғ бастап
үйсіндер кең дипломатиялық және туыстық қатынаста болды ,қытаймен
 үйсіндер айналысқан егіншілік , суармалы тәлімді
үйсіндер айналысты ,суырмалы және телімді егіншілік
үйсіндер алғашында тәуелді болған ,ғұндарға 
үйсіндер алтын әшекей бұйымдарды зерлеу тәсілімен орындады ол қандай тәсіл ,түрлі түсті тастармен безендіру 
 үйсіндер астанасы ретінде аталатын қала , қызыл аңғар чигу чигучен 
үйсіндер басшысының атауы ,гуньмо күнби 
үйсіндер дипломатиялық қатынас орнатты ,қытаймен 
үйсіндер жайлы дерек қалдырған ,тарихшы сыма цянь 
үйсіндер жайлы деректерді қай ежелгі тарихшы қалдырды ,сыма цянь 
үйсіндер қай елмен тең құқықты дәрежеде саяси және сауда қарым қатынасын жасаған ,қытай 
үйсіндер қай мемлекетпен кен дипломатиялық туыстық қатынаста болды ,қытай 
үйсіндер қоғамы мемлекет дәрежесіне жетті ме ,жетті
үйсіндер қоғамы мемлекетдәрежесіне ,жетті 
үйсіндер қыш ыдыстарына , күннің суретін салған
үйсіндер мата тоқу үшін қолданған қарапайым құрал ,керме
 үйсіндер мәдениетінің хронологиялық шеңбері , б з б 3 ғ мен б з 4 ғ 
 үйсіндер ордасы қызыл аңғар орналасты ,ыстық көл мен іле өзенінің оңтүстік жағалауында
үйсіндер өрбіген ежелгі қазақ халқының этносаяси қауымдастық аймағы , жетісу жері 
 үйсіндер өсірген дәнді дақылдар , арпа тары 
 үйсіндер саяси және сауда қарым қатынас жасаған ел , қытай
үйсіндер туралы ат жақты аққұбаша сары шашты деп жазған ,қытай жазбалары
 үйсіндер туралы деректер сақталған ел , қытай 
 үйсіндер үйлерін неден түрғызған , шикі кірпіштен және тақта тастан 
үйсіндерге қатысты усунго синго ұғымы ,көшпелі мемлекет
үйсіндерде әйел адамның бас тәжісі диадем табылған жер ,қарғалы
үйсіндерде әулеттің зираты орналасқан жер ,қонысқа жақын жерлерде
үйсіндерде бай адамдардың мөрлері неден жасалды ,алтын мен мыстан 
 үйсіндерде байлар өз жылқыларын өзге жылқылардан айыру үшін не салды , таңба 
үйсіндерде егіншіліктің болғандығын дәлелдейтін дерек кездескен қоныс ,ақтас қыстауы
үйсіндерде жақсы дамыған кәсіп тері өңдеу үйсіндерде жақсы дамыған кәсіптер ,тоқыма және жіп иіру 
 үйсіндерде жерленген адамның басы қаратылған тұс , батысқа
үйсіндерде құлдардың еңбегі қандай шаруашылықта пайдаланды ,үй шаруашылығы 
үйсіндерде мата тоқу үшін ,өрмекке ұқсас тоқымакермесі қолданылған 
 үйсіндерде мүлік теңсіздігі болғандығын дәлелдейтін дерек , жерлеу орындары 
 үйсіндерде мүлік теңсіздігі болғандығын дәлелдейтін , жерлеу орындары
үйсіндерде саз балшықтан ыдыс жасаумен айналысқан ,әйелдер
үйсіндердегі тайпа көсемдерінің атауы ,бек 
үйсіндердің ақтас қонысынан табылған заттай деректер дәлелдейді , егіншіліктің болғанын 
 үйсіндердің астанасы болған қала , қызыл аңғар
үйсіндердің астанасы чигучен қызыл алқап қаласы қай жерде орналасқан ,ыстық көл жағасында
үйсіндердің астанасы чигучен қызыл аңғар қаласы орналасқан ,ыстық көл жағасында 
үйсіндердің астанасы чигученқай жерде орналасқан ,ыстықкөл жағасында 
үйсіндердің астанасы ,қызыл аңғар 
үйсіндердің жеке меншігі ,мал мен жер 
үйсіндердің жоғарғы билеушісінің титулы ,гуньмо
үйсіндердің жоғары билеуші титулы ,гуньмо 
үйсіндердің зергерлік бұйымдары табылған қорым ,ақтас
үйсіндердің көне қалалары табылған жер ,шу мен кеген бойы
үйсіндердің көне қалаларының бірнеше орны табылған ,өзен бойларынан 
 үйсіндердің қыстаулары орналасты , мойынқұм және балқаш өңірінде
үйсіндердің қыш заттары мен ыдыстарындағы салынған сурет ,күннің суреті
үйсіндердің қыш ыдыстарына ненің суреті салынған ,күннің 
үйсіндердің мәдениеті қамтиды ,700 жылдай 7 ғасыр 
 үйсіндердің солтүстік батыстағы көршісі , қаңлы
үйсіндердің сұйық тағамға арналған негізгі ыдыстары ,былғарыдан жасалды
үйсіндердің тәтісі тәнтісі ,қарғалы үйсіндердің тұрақты үйлері орналасқан жер тау бөктерлерінде
 үйсіндердің халқының саны , 630 мың адам 
 үйсіндердің шығу тегі туралы мәлімет қалдырған тарихшы , сыма цянь
үйсіндердің шығу тегі ,бесбалық 
үйсіндердің шығыс шегі ,бесбалық
үйсіндердің ыстықкөл жағасында орналасқан ордасы ,қызыл аңғар 
үлкен ноғайлы елі қай жерде болды ,еділдің шығысында 
үлкен тибетке дейін жетіп кашимирде болып ресейде кең таралып кеткен кашимир шәлісін жеткізген грузин көпесі ,семен мадатов 
үстіртте зерттелген сармат ескерткіштері ,бәйте терең
үш дәрежелі даңқ орденінің иегері атағына қанша қазақстандықтар ие болды ,142 
үш жүз аңызы бойынша қазақ халқы ру тайпаларының өз таңбаларын салған жері ,таңбалы нұра
үш жүз партиясының лидері ,к тоғысов 
үш жүз партиясының лидері ,к тоғысов 1917 құрылған 
үш жүз аңызы бойынша қазақ құрамына енген ру тайпалар жартасқа өздерінің ен таңбаларын салған жер ,таңбалы нұра
үш савромат жауынгері жерленген қорым ,сынтас
 үшкіртас құрал жасалды , ерте палеолитте 
 үшлік қаған 20 әкімшілік аймақтың әрқайсысында , 7 мыңнан әскер ұстаған 
 үшлік қаған 20 әкімшілік аймақтың әрқайсысында , 7000 әскер ұстаған
 үшлік қаған басқарған мемлекет , түргеш қағанаты
 үшлік қаған қытайлармен күрестежеңіске жетті , 704 ж 
үшлік қаған өзінің негізгі тайпаларын бөлді ,екі ордаға
үшлік қағанның тұсында болған әкімшілік аймақ саны ,20
 үшінші дәрежелі даңқ орденінің иегері атағына қанша қазақстандықтар ие болды , 142 
 үшінші қарабас тұрағы жатады , кейінгі палеолитке 
 үшінші сайланған қазақ кср жоғары кеңесінің құрамында болды , 400 депутат 
 ф голощекин ауылдарға жіберген уәкілдер саны , 4800
 ф голощекин ұсынысын бірден бір дұрыс саясат деп қолдаған , и сталин 
 ф голощекиннің саясатына қарсы оппозиция қарсыласы басшыларының бірі , с сәдуақасов 
 ф голощекиннің саясатына қарсы өз пікірін білдірген қоғам қайраткері , ж мыңбаев 
 ф голощекиннің саясатына наразылық білдіргені үшін ұлтшыл деп айыпталған , с сейфуллин
 ф голощекиннің ұраны , ауылды кеңестендіру 
 ф достоевский семейде немен айналысты , археологиялық ескерткіштер жинаумен
 ф и голощекиннің идеясына қарсы шыққандар , с сәдуақасов ж мыңбаев 
 ф и голощекин қазақ өлкелік партия комитетінің бірінші хатшысы қызметін атқарды,1925 1933 ж ж 
 ф и голощекин қазақстанда билі басында болған жылдар , 1925 33
 ф и голощекин ұсынған идея кіші қазан ф и голощекин ұсынған идея , кіші қазан 
 ф и голощекиннің ауылда кеңестендіру ұранына қарсы болғандарға тағылған айып , ұлтшыл 
 ф и голощекиннің ұраны , ауылды кеңестендіру 
 фазаллах ибн рузбиханның дерегінде қарақалпақтар мен ноғайлардың атауы , маңғыттар 
фараиз,дүние мүлікті мұрағақалдыру және бөлу туралы заң 
фашистердің 5 танкісін фердинанд зеңбірегін3 автомашинасын жойып днепрден алғашқылардың бірі болып өткен ,қойгелді аухадиев 
фашистердің жоспары бойынша қазақстан құрамына енген рейх комиссариат ,үлкен түркістан 
фашистердің жоспары бойынша қазақстан төмендегі аталған рейх комиссариаты құрамына отар ретінде кіруге тиіс болған , үлкен түркістан 
феодалдарға шартты түрде сыйға берілетінжер үлесі ,сойырғал 
феодалдың үлестік жерін батыста бенефиций ресейде поместье деп атады ал шығыста қалай аталды ,сойырғал 
 фольклор үлгілері қыпшақ тілінің ескерткішінде сақталды , кодекс куманикус 
 франция жерінен табылған адам қаңқасы , саналы адам
 француз т амедидің еңбегі , аттила мұрагерлерінің тарихы 
фу дэ чжао хой бастаған қытай әскерлері басып кірген жыл ,1757 жылы
х ерғалиевтің қазақ кеңес поэзиясының алтын қорына қосылған поэмасы , құрманғазы біздің ауылдың қызы 
хазарларға қарсы соғыста оғыздармен одақ құрған киев князі ,святослав
хақназар кезінде қазақ жасақтарының тегеуірінді шабуылына шыдамаған ноғайлар ығысты ,дон даласына
хақназар қайтыс болғаннан кейін хан тағына сексенге келген ,шығай отырды 
хақназар хан ел билеген жылдар ,1538 1580 жж 
 хақназар хан моғолстан ханы абд ар рашидке қарсы соғыста одақтасты , өзбектермен 
 хақназар хан өлгеннен кейін хан тағына отырған жәнібек ханның немере інісі жасы сексенге келген , шығай хан
хақназар ханның кезінде қазақ хандығына қарайтын ру тайпалар қыстады ,қызылқұм мен сыр бойына
хақназар ханның кезінде қазақ хандығының батыстағы территориясы осы мемлекет аумағы есебінен ұлғайды ,ноғай ордасы
хақназар ханның кезінде саяси құлдырауға ұшыраған мемлекет ,ноғай ордасы
 хақназар ханның сыртқы саясаттағы бағытын өзгертуге әсер етті , сібір ханы мен моғолстан билеушілерінің шапқыншылық жорықтары 
 халқы , үйсіндер қаңлылар қарлұқтар түркештер
халқы ,630мың тілі көне түркі билеуші гуньмо
халык дастандарын ел арасында шеберлікпен насихаттаған ұлы ақындардың бірі болған ,н байғанин 
халық білге хан атағын берген найман билеушісі ,инанч білге
халық арасында әрі батыр әрі ақын ретінде танылған ,ә байбатырұлы 
 халық арасында батырлар жырын насихаттап шеберлік сапасына көтерген кім , н байғанин 
 халық арасында кең тараған ертегілер , ертөстік құламерген алтын сақа аламан мен жоламан асан қайғы қарамерген 
халық ауыз әдебиетінің алғашқы үлгілері ,йолығ тегін мен тоныкөк
халық бұқарасының мәдени деңгейін көтеру мақсатында 1924 ж ұйымдастырылған қоғам ,сауатсыздықты жою қоғамы
халық дастандарын ел арасында шеберлікпен насихаттаған ұлы ақындардың бірі болған ,н байғанин 
халық дастандарының ел арасында кең тараған батырлар жырының түп нұсқаларын насихаттаған халық ақыны ,н байғанин
халық жазушысы о сүлейменовтың дүние жүзі тілдерінің даму заңдылықтарын саралаған еңбегі , жазу тілі 
халық көтерілісін басқарған исатай қайтыс болған жері ,ақбұлақ 
халық қаһарманы атағы берілген партизан жазушы ,қ қайсенов
халық сүйіп тыңдайтын балбырауын сарыарқа күйлерінің авторы ,құрманғазы 
халық ішінде бөтен дінді таратушыларды қалай атаған , миссионер 
халық эпосы қозы көрпеш баян сұлудың көркемдік жағынан құнды нұсқасы жазып алынды ,шөже қаржаубайұлынан 
халықаралық көрме мен жәрмеңкелерде қаракөл терісінен аса үздік жетістікке жеткен жазылбек қуанышбаев ,жамбыл облысының азаматы 
халыққа жолдауында 2030 ел президенті көркеюші және саяси тұрақтанған қазақстанға қажет қандай үш белгіні белгілеп берді ,ұлттық бірлік әлеуметтік шындық азаматтардың әл ауқатының артуы 
халыққа жолдауында 2030 президентгің тұжырымы бойынша 33 жылдан кейін жаңа ұрпақтар қандай жақсы ерекшеліктерді игеру керек ,берілген жауаптардың бәрі дұрыс 
халыққа жолдауында 2030 президенттің тұжырымы бойынша 33 жылдан кейін жаңа ұрпактар ,әлемге әйгілі елінің патриоттары болады білігі жоғары мамандар болады жоғары ақылы жұмыс атқарады салауатты өмір сүреді 
халықтар арасында сауда байланысы болғандығына сирек кездесетінқұнды жәдігер мысал бола алады ,отырардан табылған күміс көмбе
халықтардың ұлы қоныс аударуы мезгілі қай тайпаның жылжуымен басталды ,ғұн 
халықтардың ұлы қоныс аударуын бастаған ,ғұндар
халықтардың ұлы қоныс аударуын бастаған халық ,ғұндар
халықтардың ұлы қоныс аударуын туғызған тайпа ,ғұндар
халықтартұтыстығы мен ұлттық тарих жылы ,1998 ж 
халықты инабатты болуға адал өмір сүріп арамдықтан аулақ болуға шақырған қарахан халқына түсінікті түрік тілінде жазылған дастан , ақиқат сыйы 
халықтық әдіспен батыс қазақстанда салынған канал ,орал көшім 
халықтық құрылыс әдісімен бетпақ даланы игеру жедел қарқынмен жүрді батыс қазақстанда ,орал көшімканалы салынды 
халықшылдарды қазақстанға жер аудару жаппай етек алды ,хіх ғ 80 жылдарында
хан емессің ылаңсың қара шұбар жылансың деген жолдары қай ханға айтылған ,жәңгір ханға 
 хан кенесары қасымұлы туралы тарихи шындықты жазған жазушы , ілияс есенберлин 
 хан мен сұлтандардың пайдасына шариғатқа негізделіп салынатын мал салығын атаңыз , зекет
хан сайлағанда жұрт жапа тармағай жабылып ханды көтерген киізді , тәбәрік ханталапай етіп бөліп алады
хан сайлаудың басты шарты ,шыңғыстың ұрпағы болуы
хан тағына сайлануға құқылы шыңғыс ұрпақтары ,төрелер
ханға адал істегендерге берілген жерлер ,сойырғал
хандар сайланды ,ақсүйектерден
хандарды кімдерден сайлаған ,ақсүйектерден 
ханды қорғап жүретін өзі елінен іріктеп алған жасағы , төлеңгіттер
хандық билікті қолына сақтап қалуға талпынғандардың бірі ,кіші жүз сұлтаны арынғазы
хандық өкіметтің ең жоғарғы жылына бір рет жазда шақырылған жиыны ,құрылтай 
хандықтың нығаюымен байланысты қараған халықтың бәрі қазақтар деп атала бастады ,жәнібек пен керейге
хандықтың ішкі өмірі мен сыртқы саяси өмірінің аса маңызды мәселелерін шешетін адам ,билер 
ханның аңшылық ісін басқаратын адамдар ,миршикар
ханның жасағын атады ,төленгіттер
 ханның жеке басын қорғайтын жасауыл , кешіктен 
ханның саяси әкімшілік іс жүргізетін орны ,орда деп аталды 
ханталапай ол ,ханды сайлағанда малын бөлісіп алу
 ханталапай сөзі нені білдіреді , ханды сайлағанда малын бөліп алу
хань әулетінің қол астына бағынған ғұндардың бөлігі ,оңтүстік
хань әулетінің қол астына түскен ,оңтүстіктегі ғұндар
хаома сусынын дайындайтын сақ ,мұрғаб аңғарында 
 хаомаварга сақтары мекендеді , мұрғаб өзенін 
 хаомоварга сақтарының тұрған жерін анықтаңыз , мұрғаб өзені бойында 
хәкім ата атанған орта ғасырлық белгілі ақын ,сүлеймен бақырғани
хиуа хандығына қарсы күрескен арынғазы әбілғазыұлының ісін жалғастырған батыр ,жанқожа нұрмұхамедұлы
хиуа ханы қаңыратып кеткен қазақ ауылдарының саны ,2000 ға жуық ауыл
 хиуа ханы мұхамед рахымның қазақтарға жасаған жойқын шабуылы , 1820 жылы 
 хлудовтың талантты шәкірттерінің бірі қазақтыңбелгілі суретшісі , ә қастеев 
 ходжент жанында қарахан әскеріне қарақытайлардыңсоққы берген жылы , 1137 ж 
 хорезм мемлекетінің қыпшақтарға байланысты жүргізген саясатына жатпайды , ақсүйек шонжарларды жазалап халықты өзіне тарту
хорезм шахы мұхамед текеш xііі ғ басында теңге соқтырған қала ,отырар
 хорезммен жақындасуына байланысты қыпшақтар арасында ислам діні кең тарай бастаған уақыт , xіі ғасырдың екінші жартысы 
 христиан мұсылман буддизм діндерінің жерлеу орындары табылған ортағасырлық қала , тараз
 хронологиялық ретпен алғашқы болған шайқас , марафон шайқасы
 хрущев жылымығы аталған саяси термин тән уақыт , кокп хх съезінен кейінгі кезең 
 хрущев жылымығына қатысты оқиға , с сейфуллин о жандосов н нұрмақов т б ақталуы
худуд әл алам қарлұқтарда 25 қала қоныс болған олар ,құлан мирки атлахбалық барысхан талғар т б 
хусрау мен шырын еңбегінің авторы кутбтың шыққан тегі ,қыпшақ
хұсрау мен шырын шығармасының авторы ,кутб
хүіп ғасырдың ортасында қазақ билеушілері мен қытай арасында шиелеңістің басты себебі ,жер мәселесі
х хіі ғасырлар аралығына жататын тарихи ескерткіштер ,айша бибі бабаджа қатын кесенелері
 хіх ғасырдың 20 40 жж қазақстан монографиялық еңбсгінің авторы , е бекмаханов
хіхғ 30 40 жж ресей оңтүстік қазақстанды жаулап алуды тездету үшін ,орта азияға жақындау үшін бекіністер салуға кірісті
хі хіі ғғ алтайдан басталып батысында еділге днестрге дейінгі аумақ осы тайпаның атымен байланыстырылды ,қыпшақ
целиноград оқиғасы болды ,1979 ж 
цин әскерінің қазақстанға басып кіру себебі ,абылайдың әмірсананы ұстап беруден бас тартуы
цин әулетіне қарсы ұйғыр дүнген халықтарыныңазаттық күресі болды ,1862 1877 жж 
 цин императоры канси өлгеннен кейін 1723 ж қалыптасқан саяси жағдай , жоңғария бар күшін қазақ жеріне жұмсауға мүмкіндік алды 
 цин империясы жоңғарияны түбегейлі талқандауға кірісті , 1756 1758 жылдары 
цинь патшалығыұлы қытайқорғанын салды ,б з 6 3 ғ аяғында 
черкасск қорғанысы оқиғасы болған кезең ,азамат соғысында
черкасск қорғаушылары кімнің әскерлерімен шайқасты ,анненков әскерлерімен
черкасск қорғаушылары шайқасты ,анненков әскерлерімен 
чжи чжи кімдерге қарсы қаңлылармен одақтасты ,үйсіндерге 
чжи чжи шаньюй марка крас армиясының римдік жауынгерлерін ,өз қаласын қорғаған кезде пайдаланды
чжи чжидің қытайға және үйсіндерге қарсы әскери іс қимылдары ,чжи чжидің тұтқынға алынуымен аяқталды 
чигучен ,ыстықкөлжағасында орналасқан үйсіндердің орталығы 
ш уәлихановтың досы кейін семейге ауыстырылған орыс жазушысы ,ф достоевский
 ш кұдайбердіұлының шығармаларының қатарына жатпайтын еңбек , қазақ салты 
 ш құдайбердіұлының xx ғ басында жарыққа шыққан еңбектері , түрік кырғыз қазақ һәм хандар шежіресі мұсылмандық шарты кітаптары және қазақ айнасы өлеңдер жинағы қалқаман мамыр еңлік кебек 
 ш құдайбердіұлының шығармаларының қатарына жатпайтын еңбек , қазақ салты 
 ш мұртазаның тетралогиясы , қызыл жебе 
 ш уалиханов қозы көрпеш баян сұлу жырының нұсқасын жазып алған акын , шөже 
 ш уалиханов 1865 ж сәуірде алтын емелде , қайтыс болды 
ш уалиханов балалық шағын өткізген жер ,сырымбет
 ш уалиханов қағазға түсірген эпикалық шығарма , манас 
ш уалиханов қайтыс болған жер ,алтын емел жотасы
ш уалиханов сібір омбы кадет корпусын бітіргендегі жасы ,18
ш уалихановтың 1864 ж генерал н черняевтың әскери экспедициясымен басып алуға қатысқан бекінісі ,әулие ата бекінісі 
 ш уалихановтың қашқарға барған жылдары , 1858 1859 ж ж
 ш уәлиханов 1853 жылы кадет корпусын бітірген кездегі жас мөлшері , 18 де 
 ш уәлиханов 1853ж корпусын бітірген кездегі жас мөлшері , 18 де
ш уәлиханов білім алған оку орны ,сібір кадет корпусы 
ш уәлиханов верный бекінісінде болды ,1864 жылы
 ш уәлиханов қағазға түсірген эпикалық шығарма , манас 
ш уәлиханов қайтыс болған жер ,алтын емел жотасы
ш уәлиханов неше жасында орысша оқуға барды ,12 жасында 
ш уәлиханов омбыдағы сібір кадет корпусын бітіріп шыққанда берілген офицерлік шен ,корнет
ш уәлиханов орыс географиялық қоғамының мүшесі болып сайланды ,1857 жылы 
ш уәлиханов өмір сүрді ,1835 1865 жылдары 
ш уәлиханов суырып салма өнерін жоғары бағалаған ,шөже 
 ш уәлиханов сібір кадет корпусында білім алған жылдар , 1847 1853 жылдары 
 ш уәлихановпен саяхаттардың кейбір маршруттарында бірге болған көрнекті ғалым географ , п семенов тяньшанский 
 ш уәлихановтың балалық шағы өткен жерлер , құсмұрын сырымбет
ш уәлихановтың білім алған орны ,сібір кадет корпусы
ш уәлихановтың гасфорт саяхатына қатысқан жылы ,1855ж 
ш уәлихановтың досы кейін семейге ауыстырылған орыс жазушысы ,ф достоевский
ш уәлихановтың құлжаға барған жылы ,1856 жыл
ш уәлихановтың қытайдағы дүнгендер көтерілісі туралы соңғы еңбегі жарияланды ,1865 жылы
ш уәлихановтың соңғы мақаласы дүнген көтерілісі туралы шыққан газет , русский инвалид 
ш уәлихановтың туған жері ,құсмұрын бекінісі
ш уәлихановтың шыққан тегі ,ақсүйек шыңғыс тұқымы
ш уәлихановтың шын есімі ,мұхамед қанапия 
ш ш уәлихановтың қай жылы орыс географиялық қағамының мүшесі болып сайланды ,1857 жылы
 шабақты тұрағы жатады ерте палеолитке шағатай әулетінің мемлекеті қашан құрылды , хшғ 
шағатай мемлекеті қашан ыдырады ,xіv ғ ортасында 
шағатай ұлысы ,оңтүстік қазақстан жетісу мауренахр шығыс түркістан 
шағатай ұлысына қараған жер ,оңтүстік және оңтүстік шығыс қазақстан жетісу мен орта азия 
шағатай ұлысына қараған жер ,оңтүстік және оңтүстік шығыс қазақстан
шағатай ұлысының орталығы болған қала ,алмалық
шағатай ұлысының орталығы ,алмалық 
шағатай хан өзіне адал қызмет еткен дклат әмірі поладшыға берген дер ,маңдай сүбе 
шағатайдың жазғы ордасы орналасқан жер ,іле өзені бойында
 шағатайдың жазғы ордасы , іле өзені бойында 
 шағын оба мен сарышелді өзені аудандарындағы даулы болып келген жерлержөнінде қай мемлекеттер арасында келісімгеқол жетті , қазақстан мен қытай 
шайбани әбілқайыр билік құрған уақыт ,1428 1468 жж
 шайбани әбілқайыр қайтыс болған жер , алматы маңындағы аққыстау
шайбани әбілқайыр хан болып сайланды ,1428 
шайбани әбілқайырдың хан болып сайланған уақыты ,1428 ж 
шайбани ұлысының билеушісі әбілқайыр хан ойраттардан жеңілді ,1456 1457 жж 
шайбани ұрпағы әбілқайыр қайтыс болған жер ,алматы маңындағы аққыстауда
шайбани ұрпағы мен қазақ хандығы арасындағы сырдария қалалары үшін соғыс созылды ,30 жылға
 шайбани ұрпағынан көшім сібірдің ханы болған кезден бастап батыс сібірдің жергілікті халқына тарата бастаған дін , ислам діні 
 шайбани хан қазақ хандығына қарсы , 30 жыл күрес жүргізген
шайбани хан сығанаққа қайтар жолда жолшыбай ,10 мың қазақ түтінін мал мүлкімен қолға түсірді
шайбани хан ұрпақтарының арасындағы хандық билікке өзара таластың басталуына әсер етті ,шайбанидың қаза болуы
 шайбани ханның қазақ даласына жорық жасаған жылдары , 150315051506 жылдар 
 шайбани ханның ұрпағы әбілқайыр билік құрған уақыт , 1428 1468 жж 
шайбани ханның ұрпағы әбілқайыр қайтыс болған жер ,алматы маңындағы аққыстауда 
шайбанилық әбілхайыр хандыққа қай жылы сайланды ,1428 жылы 
шайқаста көрсеткен табандылығы мен ерлігі үшін сталинградтық деген құрметті атақ алған гвардиялық дивизия ,73 ші
шамамен 1667 1764 жылдары өмір сүрген қазақтың атақты биі ,қазыбек би
шанхай бестігі басшыларының үшінші кездесуі ,1998 ж алматыда 
шанхай бестігі басшыларыныңекінші кездесуі ,1997 ж мәскеуде 
шанхай бестігі басшыларыныңтөртінші кездесуі ,1999 ж 24 25 тамыз бішкекте 
шанхай бестігініңалғашқы кездесуі өтті ,1996 ж 26 сәуірде шанхайда 
шанхай ынтымақтастық ұйымы басшылары 1998 жылы бас косқан қала ,алматы
 шанхай ынтымақтастық ұйымының алғашқы форумы өткен уақыт , 1996 жыл 26 сәуір 
 шанхай ынтымақтастық ұйымының алғашқы форумына қатысқан мемлекеттердің саны , 5 
 шапырашты қарасай батыр мен арғын ағынтай батыр қай шайқаста шайқасты , орбұлақ шайқасы
шапырашты қарасай арғын ағынтай батырлар басшылық жасап жоңғарларға қарсы соғысқан шайқас ,орбұлақ шайқасы
