question,answer
 1681-1685 жылдары жоңғар феодалдары Оңтүстік Қазақстанға бірнеше рет шабуыл жасау нәтижесінде қиратылған қала: , Сайрам 
 1681-1685 жылдары Оңтүстік Қазақстан жеріне бірнеше рет шабуыл жасады: , Жоңғарлар
"1684-1781 жылдары өмір сүрген қазақ әдебиетінің алдыңғы қатардағы өкілдерінің бірі, белгілі жырау ",Букар жырау
Сібірге 5 рет елшілік жіберіп орыс-қазақ қатынастарды дамытты,1686-1693 ж 
Тәуке хан Сібірге 5 рет елшілік жіберіп орыс-қазақ қатынастарды дамытты,1686-1693 жж 
Тәуке Орта Азиямен сауданы дамытты,1687-1688 жж 
Бөгенбай батыр,1690-1775 жж 
Қаракерей Қабанбай (шын аты Ерасыл) ,1691-1769 жж 
Кіші жүзде Әбілхайыр билігі ,1693-1748 ж 
Кіші жүзде Әбілхайыр билігі ,1693-1748 жж 
Тәуке хан 1 Петрмен елші Аталықов арқылы сауда байланысын күшейту туралы келісті,1694 ж 
1694 ж -Тәуке хан І Петрмен елші Аталыков арқылы кандай келісім жасады: ,Сауда байланысын күшейту
1694 ж І Петрмен елші Аталықов арқылы сауда байланысын дамытуға келісім жасаған хан:,Тәуке
1694 жылы І Петрмен елші Аталықов арқылы сауда байланысын дамытуға келісім жасаған хан: ,Тәуке
1694 жылы І Петрмен елші Аталықов арқылы сауда байланысын жасаған – ,Тәуке хан
 17 ғ Түркістан қаласына тән емес белгі- , Ұлықбектің кесенесі орналасқан 
1706-1778 жылдары өмір сүрген белгілі жырау: ,Үмбетей
" Құттымбекұлы Наурызбай, ", 1706-1781 жж 
 1708 жылы башқұрттар көтерілісі кезінде оларға қолдау көрсеткен хан: , Тәуке хан
1710 ж Жоңғарларға қарсы күресу үшін үш жүз өкілдерінің бас қосқан жері: ,Қарақұм
1710 ж қазақ жүздерінің Қарақұм маңына бас қосу себебі: ,Жоңғарларға қарсы тойтарыс беру 
Қарақұм жиыны,1710 ж 
1710 ж -Тәуке ханның ордасында үш жүздің өкілдері қандай мәселелерді талқылады? ,Жоңғарларға тойтарыс беру үшін әскери күшті үйымдастыру 
"1710 жылғы қазақ жүздерінің белгілі өкілдері бас қосьіп, жоңғарларға қарсы төтеп беру мәселесін талқылаған жер: ",Қарақұм маңы
1710 жылы жоңғарларға қарсы күресу үшін үш жүз өкілдерінің бас қосқан жері –, Қарақұм
1710 жылы жоңғарларға қарсы үш жүз басын қосқан: ,Тәуке хан 
1710 жылы жоңғарларға қарсы үш жүздің басын қосқан: ,Тәуке хан 
1710 жылы қазақ жерінің Қарақұм маңында бас қосу себебі:,Жоңғарларға қарсы тойтарыс беру 
"1710 жылы қазақ жүздерінің белгілі өкілдері бас қосып, жоңғарларға соққы беру мәселесін талқылаған жер: ",Қарақұм
1710 жылы қазақ жүздерінің белгілі өкілдері жоңғарларға соққы берудің мүмкіндіктерін талқылаған жер: ,Қарақұм
қазақ жүздерінің өкілдерінің Қаракұм маңында бас косып талқылаған мәселесі - жау шабуылынтойтару ,1710 жылы
1710 жылы Тәуке ханның ордасында үш жүздің өкілдері талқылаған мәселе: ,Жоңғарларға қарсы күш біріктіру
Абылай хан өмір сүрген жылдары,1711-1781 ж 
Абылай хан өмір сүрген жылдары,1711-1781 жж 
1711-1781 жылдары өмір сүрген қазақтың ұлы ханы: ,Абылай
1712 ж қазақ жасақтары басып кірді – ,Жоңғарияға 
1714(1716)-1720 жылдары Ертіс өзенінің бойына салынған бекіністер: ,"Железинск, Коряков"
 1714(1716)-1720 жылдары Ертістің бойына салынған бекіністер: ," Жәміш, Өскемен "
 1714(1716)-1720 жылдары Ертістің жағалауына салынған бекіністер –," Омбы, Семей "
1714-1720 жылдары Ертіс өзенінің жоғарғы жағына тұрғызылған бекіністер – ,"Жәміш, Омбы, Колбасинск, Железинск"
 1714-1720 жылдары патша өкіметінің Ертіс бойына әскери бекіністер салудағы басты мақсаты:, Қазақ өлкесін біртіндеп жаулап алу 
 1715 жылы Тәуке өлгеннен кейін оның мирасқоры:, Қайып
"жоңғар шапқыншылығы кеулей бастағанда Тәуке Хан Сібір Губернаторы князь М П Гагаринге елшісін жіберіп, қалмақтарға қарсы күресте қолдауын өтінген",1716 ж 
Қайып ханның 1 Петрге жіберген елшілігі,1716 ж 
"Омбы, Ямышевск бекіністері салынды",1716 ж 
1716 ж қыркүйектегі Қайып ханның Тобольскіге елшілігін кім басқарды? ,Бекболат Екешов және Байдаулет Бориев 
1716 ж І Петрге елшілік жіберген хан –,Тәуке хан 
1716-1720 жылдары Ертіс өзенінің бойына салынған бекіністер:,"Железинск, Коряков"
1716-1720 жылдары Ертістің бойына салынған бекіністер: ,"Жәміш, Өскемен"
1716-1720 жылдары Ертістің жағалауында салынған бекіністер: ,"Омбы, Семей"
Железинск қамалы салынды,1717 ж 
3 жүзді билеген Тәуке қазасынан кейін жоңғар шапқыншылығы күшейді,1718 ж 
Аягөз шайқасы,1718 ж 
1718 ж - жоңғар казақ шайқасы болған жер? ,Аягөз маңы
Семипалатинск қамалы салынды,1718 ж 
1718 ж Аягөз бойындағы қазақ-жоңғар ұрысында қазақтардың жеңілу себебі неде: ,"Әбілқайыр, Қайып сұлтандар соғыс қимылын келісіп жүргізбеді"
1718 ж Қазақ-жоңғар шайқасы болған жер:,Аягөз өзені жағасында
"1718 жылы ""Аягөз"" түбінде қазақтардың жоңғарлармен шайқаста жеңіліп қалуының себебі:",Әбілқайыр мен Қайыптың өзара келіспеушілігі
"1718 жылы Аягөз бойындағы қазақ-жоңғар ұрысында , қазақтардың жеңілу себебі неде? ","Әбілқайыр, Қайып сұлтандар соғыс қимылын келісіп жүргізбеді "
1718 жылы Аягөз маңында қазақ жасақтарының сәтсіздікке ұшырау себебі: ,Әбілқайыр мен Қайып сұлтанның соғыс қимылдарын келісіп жүргізбеуі 
1718 жылы жоғары Ёртіс бойына салынған әскери бекініс: ,Семей 
1718 жылы жоңғарлармен шайқас болған жер— ,Аякөз өзені
"1718 жылы Қабанбай, Жауғашар батырлардың басшылығымен жоңғарларды жеңген жер – ",Аягөз өзені бойы
1718 жылы қазақ жерінде салынған бекініс: ,Семей
1718 жылы Қазақ-жоңғар шайқасы болған жер:,Аягөз өзені жағасында
1718 жылы салынған бекініс – ,Семей
 Батырдың (Болат-Тәуке ханның бел баласы) билігі, 1718-1726 жж 
Кіші жүзді Күшік биледі ,1718-1750 жж 
Өскемен бекінісі салынды,1720 ж 
Ұлы жүзді Жолбарыс хан басқарды,1720-1740 жж 
 Цинь императоры Канси қайтыс болғаннан кейін Жоңғария барлық әскерін Қазақ еліне қарсы жіберуге мүмкіндік алды , 1722 ж 
 1722 жылдан кейін Цеван Рабтанның қазақтарға қарсы барлық күшін жұмсауына ықпал етті – , Цинь ханы Кансидің өлуі 
1722 жылдан кейін Цеван Рабтанның қазақтарға қарсы барлық күшін жұмсауына не ықпал етті? ,Ресейдің қазақтарды қолдаудан бас тартуы 
1722 жылы жоңғарлардың бар күшін қазақ жеріне жұмсауға мүмкіндік алуы – ,Канси өлген соң Цин империясымен қарым-қатынасын ретке келтіруі
1723 ж - жоңғарлардың ығысқан Орта жүз рулары ойысқан өңір – ,Самарқан
Цеван-Рабдан бастаған 70 мың жоңғар әскері 7 шепке бөлініп Қазақ өлкесін ойрандады,1723 ж 
1723 ж Жоңғарияның барлық күш қуатын қазақ еліне қарсы жұмсауға мүмкіндік алуының себебі: ,Цин империясының қазақ жеріне шабуылы
1723 жылы қазақ жеріне басып кірген жоңғар әскерінің саны: ,70 мың
1723-1725 жж ұрыстар нәтижесінде қазақтар қай қалаларынан айырылды?,"Түркістан, Ташкент "
"Ақтабан шұбырынды, алакөл сұлама, ақ мешін",1723-1727 жж 
1724-1725 жылдары жоңғарлар басып алған қалалар?,"Түркістан, Ташкент"
Сәмеке хан Орта жүз аймағын биледі,1724-1738 жж 
"Ордабасы жиыны Үш жүздің жасақтары жиналып, жауға соққы беру жөнінде келісімге келді",1726 ж 
1726 ж жоңғарларды талқандаудың қандай маңызы болды? ,Қазақ халқын басқыншыларға қарсы күреске жұмылдырды 
1726 ж қазақ жасақтарының жоңғар әскерлеріне күйрете соққы берген жер: ,Бұланты өзені
Қалмақ қырылған шайқасы Сарысудың орта ағысы(Торғай даласы) ,1726 ж 
"Ордабасы жиыны Үш жүздің жасақтары жиналып, жауға соққы беру жөнінде келісімге келді",1726 ж 
1726 ж Петербургке елші Көбекұлы келгенде Казақстаннық Ресей құрамына кіруі жөніндегі мәселе қаралмау себебі – ,Ресей қазақ елшілігінің өкілетгілігіне күмәнданды 
1726 жылы «Қалмақ қырылған» шайқасы болған өзеннің жағасы: ,Бұланты
1726 жылы болған «Қалмақ қырылған» шайқасының маңызы: ,Қазақстанның солтүстік- батысы азат етілді
1726 жылы қазақ әскері жоңғарларға ойсырата соққы берген жер – ,Бұланты өзені жағасында 
1726 жылы қазақ жасақтарының жоңғарларды талқандауының басы болған оқиға: ,«Қалмақ қырылған» (Қарасиыр деген жерде)
Болат хан билігі,1726-1730 жж 
1728 ж - қазақ жүздері өкілдерінің жоңғарларға қарсы күресу үшін бас қосқан жері?,Ордабасы 
1728 ж Бұланты бойындағы шайқаста қазақ жасақтарының саны: ,60 мың
1728 ж -жоңғарлармен шайкас болған жер: ,Бұланты
1728 жылы қазақ жасақтарының жоңғар әскерлеріне күйрете соққы берген жер: ,Бұланты өзені
Аңырақай шайқасы (Балқаш көлі оңт ) ,1729 ж 
"Кіші жүз билері Әбілхайырға Жоңғарияға қарсы күресу үшін Ресеймен әскери одақ құруды тапсырды, алайда Әбілхайыр елшлеріне Ресей құрамына кіру құжатын тапсырды",1730 ж 
1730 ж Ресейге жіберілген қазақ елшілігі: ,"Қойдағұлұлы, Қоштайұлы"
1730 жылы Аңырақай шайқасына басшылық жасады: ,Әбілқайыр
Райымбек батыр,1730-1829 жж 
"елшілер Сейітқұл Құндағұлұлы, Құтлымбет Қоштайұлының Кіші жүзді империя құрамына қабылдау туралы ұсынысын императрица Анна Иоановна қабылдады",1731– 19 ақпан 
Кіші жүздің 27 старшинасы Ресейдің қол астына кіруге ант берді,1731 ж – 10 қазан
"елшілер Сейітқұл Құндағұлұлы, Құтлымбет Қоштайұлының Кіші жүзді империя құрамына қабылдау туралы ұсынысын императрица Анна Иоановна қабылдады",1731 ж – 19 ақпан
1731 ж казанда Кіші жүздің 29 старшыны жиналып қарастырған мәселе: ,Ресейге қосылу жөнінде ант беру
1731 ж Кіші Жүздің ханы қай жерде Ресейге өз еркімен қосылғаңдығы жөнінде ант берді? ,Хан ордасы 
А И Тевкелев басқарған елшілік жіберілді,1731 ж – қазанда
Қазақстанға А И Тевкелев басқарған елшілік жіберілді,1731 ж 
1731 жылы 10 қазанда қазақ старшындарының жиылысының едәуір бөлігі Кіші жүздің Ресейге қосылуы жөніндегі актіні қабылдауды қолдады Осы актіні қабылдауға қарсы күресті кім басқарды? ,Барақ сұлтан 
1731 жылы ақпан айының 19 күні Кіші жүз елшілері Анна Иоаяновнаның қабылдауында болып талқыланған мәселе: ,Кіші жүзді империя құрамына қабылдау 
"1731 жылы Әбілқайырды қолдап, Ресейдің қол астына кіруге ант берген Кіші жүз старшындарының саны:",29 старшын
1731 жылы Ресей құрамына Кіші жүз қазақтарын алу жөніндегі документке қол қою қай жерде өтті? ,Хан Ордасында 
Әбілхайыр Кіші жүзге хан болды ,1731-1748 ж 
"Уса Серен бастаған жоңғар қолы Қара Ертіспен келіп, Зайсанға, Аягөзге жетіп, Қарқаралы, Баянауыл тауларые асып, Кәрітауға ат басын тірейді",1733 ж 
орыс үкіметі Сенаттың хатшысы И К Кирилов басқарған экспидиция жабдықтады,1734 ж мамырда 
1734 ж Ресейде құрылған «қырғыз-қайсақ» экспедициясының жетекшісі:, Кириллов
1734 ж Ресейде құрылған «қырғыз-қайсақ» экспедициясының мақсаттарының бірі: ,Кіші жүз жеріндегі табиғи ресурстарды зерттеу
 императрица Анна Иоаннова Ұлы жүзді Ресей құрамына қабылдауға келісімі жөнінде жарлық шығарды , 1734 ж 10 маусым 
 1734 жылы И К Кириллов бастаған арнайы экспедицияның мақсаты: , Ор бекінісін тұрғызу 
 1734 жылы И К Кириллов басқарған экспедициясының мақсаты: , Орынбор қаласын салу
" 1740 жылы тамызда Орта жүз ханы Әбілмәмбет пен Абылай султанның Орскіге келіп, билігін мойындаған империя: ", Ресей
1741 ж жоңғарлардың тұтқиыл шабуылы салдарынан тұтқынға түскен саяси тұлға: ,Абылай
1741 ж жоңғарлардың тұтқиылдан шабуылынан тұтқынға түскен саяси тұлға: ,Абылай
"Орта жүз қазақтары Ор бекінісіне дейін ығыстырылып, қалмақтардың",1741-1742 жж 
«Ақтабан шұбырындыдан»,1741-1742 жылдары
 1734 жылы құрылған «қырғыз-қайсақ» экспедициясын басқарды: , И Кириллов
 1734 жылы Ресейде құрылған «қырғыз-қайсақ» экспедициясының жетекшісі: , И К Кирилов 
 1734 жылы Ресейде құрылған «Қырғыз-қайсақ» экспедициясының мақсаттарының бірі:, Кіші жүз жеріндегі табиғи ресурстарды зерттеу
Орта жүз ханы Әбілмәмбет билігі,1734-1771 жж 
Ор өзені бойында Ор бекінісінің негізі салынды,1735 ж 
 1735 жылы Башқұрттардың көтерілісін басқарган қолбасшы:, Батырша
1735 жылы Қазақстанның солтүстігінде өзен бойында салынған бекініс ,Ор
1735 жылы Патшаның отарлық саясатына қарсы күреске шыққан башқұрттардың қарсылықты жаныштау кезінде бас сауғалап көршілес Қазақстанға қашқандары: ,50 мың 
1737 ж Әбілқайыр Кіші жүздің жасақтарын қандай көтерілісті басып тастауға жұмсады? ,Башкириядағы көтерілісті 
 орыс үкіметі Кіші жүздің жасақтарын башқұрттардың көтерілісін басуға пайдаланды , 1737 ж
 Орыс үкіметі Кіші жүздің жасақтарын башқұрттардың көтерілісін басуға пайдаланды , 1737 жылы
"Орынбор комиссияның басшысы, тарихшы В Н Татищев Орынборда қазақ сұлтандарының съезін өткізді Кіші жүзден 15 Орта 27 старшина ант берді",1738 ж – тамыз айында
1738 ж Орынборда Әбілқайырмен қатар Ресейге акт берген Кіші және Орта жуз старшындарының саны: ,60 
1738 жылы қазақ сұлтандарының съезі шақырылды: ,Орынборда 
1738 жылы Орынборда қазақ сұлтандарының съезін шақырған Орынбор комиссиясының басшысы: ,В Татищев
"Иран әміршісі Нәдіршахтың Хиуаны талқандап, Сырдария өңіріне жақындауы қазақтардың жағдайын ауырлатты",1740 ж 
Әбілмәмбет хан мен Сұлтан Абылай Орынборға келіп Ресей билігін мойындады,1740 ж – 28 тамыз
"Иран әміршісі Нәдіршахтың Хиуаны талқандап, Сырдария өңіріне жақындауы қазақтардың жағдайын ауырлатты",1740 ж 
1740 ж Орта жүз ханы әбілмәмбет пен Абылай сұлтанның ант берген мемлекеті: ,Ресей
1740 ж Орта жүздің ханы Әбілмәмбет пен сұлтан Абылай ант берді: ,Ресей 
Әбілмәмбет хан мен Сұлтан Абылай Орынборға келіп Ресей билігін мойындады,1740 ж 28 тамыз 
1740 жылы кіші жүз Сырдария қазақтарының жағдайының қиындай түсуі – ,Парсы әмірінің Хиуаны талқандауы
1740 жылы Кіші Жүздің шекарасына қауіп төндірген мемлекет: ,Иран
1740 жылы Кіші Жүздің шекарасына қауіп төндірген мемлекет: ,Парсы
1741-1742 жылдары Орта мен Кіші жүзгежорық ұйымдастырған: ,Қалдан-Серен 
1741-1743 жж Абылай сұлтан тұтқында болды: ,Жоңғарияның
Қолдан Церен Орта жүз бен Кіші жүзге екінші ақтабан шұбырынды жорық жасады,1741-42 жж 
1742 ж Ресей қарамағындағы қазақтарға қысым жасамауды талап етіп Қалдан- Ссренге хат жолдаған Орынбор басшысы: ,Неплюев
Ресей Сенаты қазақтарды және шекалалық бекіністері қорғау жөнінде жарлық шығарды,1742 ж – 20 мамыр
1742 ж 20 мамырдағы Ресей Сенатының Жарлығы:,Қазақтарды және шекаралық өңірдегі бекіністерді қорғау туралы
1742 ж 2-ші қыркүйекте қазақтарға қысым жасауды тоқтатуды талап етіп Қалдан- Серенге хат жазған – ,Орынбор комиссиясының басшысы Неплюев
"Абылай сұлтан жоңғар тұтқынына түсіп, 1743 ж қиыншылықпен босады",1742 ж 
"Орынбор комиссияның бастығы И Неплюев Галдан Церенге хат жолдап, Ресейдің қарамағындағы қазақтарға қысым жасамауды талап етті ",1742 ж 2 қыркүйекте
Сырым Датұлы өмір сүрген жылдары ,1742-1802 ж 
Пугачевтің жасағын басқарды ,1775 ж
Сырым Датұлы өмір сүрген жылдары ,1742-1802 жж 
Орынбор шекаралық комиссияның төрағасы И И Неплюев Орск қалашағын жаңа жерге көшірді Қоныс Орынбор деп аталды ,1743 ж 
тұтқынан босаған Абылай жоңғар феодалдарымен күресті өрістетті,1743 ж 
"Жоңғар қонтайшысы Галдан Цереннің қайтыс болуына байланысты таққа талас басталып, Орта Азия жағдайы шиеленісіп кетті",1745 ж 
"қонтайшы қазасынан кейін таққа таласушылардың бірі Әмірсана Абылайды паналап, Орта жүзге қашты",1745 ж 
" Жоңғар қонтайшысы Галдан Цереннің қайтыс болуына байланысты таққа талас басталып, Орта Азия жағдайы шиеленісіп кетті ", 1745 ж 
 1745 ж қазақ жеріне жоңгар шапқыншылығының уақытша тоқтауына не себеп болды? , Қалдан-Сереннің қайтыс болуы - жоңғарлардың өз ішінде билік үшін күресті күшейтті 
1745 ж қазақ жеріне жоңғар шапқыншылығының уақытша тоқтатылуына әсер еткен жағдай: ,Қалдан -Цереннің қайтыс болуы мен жоңғарлардың өзара билікке талас - тартыс күшейді 
"қонтайшы қазасынан кейін таққа таласушылардың бірі Әмірсана Абылайды паналап, Орта жүзге қашты",1745 ж 
1745 жылы жоңғарлардың Қазақ жеріне жорығының уақытша тоқтау себебі: ,Қалдан- Сереннін қяйтыс болуы
"қазақ даласы арқылы Орынборға жеткізілген 135447 қой, 49697 жылқы, 7740 ешкі, 238 бұқа жалпы құны 1 млн сом шмасында бағаланған",1745-1759 ж 
1745-1759 жылдары Орынборға жеткізілген мал басының құны – ,1 млн сом
1747 ж Алтандың тау-кен кәсіпорындарын орыс патшалары огбасынарының меншігі деп жариялаған: ,Елизавета Петровна
1747 ж орыс патшасы Елизавета Петровнаның Алтай өңіріндегі тау-кен кәсіпорындары жөніндегі шешімі –,Орыс патшалары отбасыларының меншігі деп жариялады 
1747 ж орыс патшасы Елизавета Петровнаның Алтай тау- кен кәсіпорындары жөніндегі шешімі:,Орыс патшалары отбасыларының меншігі деп жариялады
патшайым Елизавета Петровна үкіметі Демидовтар әулетінің қолында болған Алтай тау-кен кәсіпорындарын орыс патшаларының меншігі деп жариялады,1747 ж 
Хиуа тағына Батыр сұлианның баласы Қайыптың отыруы қазақ ханының бұл өңірдегі ықпалын әлсіретті,1747 ж 
1747 жылы Е Петровнаның шешімі: ,Алтай тау- кен кәсіпорындары – патша отбасының меншігі 
1747 жылы Нәдір шах өлгеннен кейін Хиуа тағына отырған хан: ,Қайып сұлтан
1747 жылы Орыс патшасы Елизавета Петровнаның Алтай өңіріндегі тау кен кәсіпорындары жөніндегі шешімі – ,Бұл өңірді Демидовтар әулетіне сыйға тартты 
 1747 жылы Хиуа тағына сайланған – , Қайып 
" Ор бекінісі маңында Әбілхайыр мен Ресей дипломаттары кездесіп, екі арадағы салқындықты жойғандай болды", 1748 ж 
"Ұлқияқ және Торғай өзендері арасындағы қақтығыста, Әбілхайыр Барақ сұлтан қолынан қаза тапты",1748 ж 
1748 ж Абылай хан мен оның жақгастары Ресейге қосылу жөнінде келісімге келген кезде тағы қандай мәселелер қаралды? ,Жоғарырыда аталғандар 
1748 ж Нұралы ханды мойындамаған шекті руы өз ханы деп таныды:,Батыр сұлтанды
"Ор бекінісі маңында Әбілхайыр мен Ресей дипломаттары кездесіп, екі арадағы салқындықты жойғандай болды",1748 ж 
1748 жыды Нұралы ханды мойындамаған шекті руы өз ханы деп таныды: ,Батыр сұлтанды
ӘбілхайырБарақ сұлтанның қолынан қаза тапты,1748 жылы 
Барақ сұлтан Әбілхайыр ханды өлтірілді ,1748 жылы
 1748 жылы Нұралы ханды мойындамаған шекті руы өз ханы деп таныды: , Батыр сұлтанды
1748 жылы Сұлтан Абылай кімге ант берді – ,Ресей
"Тілеуке Құлекеұлы Шал-акын- Көкшетау өңірде туған Әкесі-Абылайдың батыры, Анасы – Төле бидің туған қызы",1748-1819 ж 
1749 жылдың 10 шілдесінде Кіші жүздің қай ханы Россияға ант берді – ,Нұралы
1750 - 1770 ж ж Кіші жүзде Ресейдің отарлау саясаты қандай шаралардан көрінеді? ,Жайық бойына жақын жерлерге мал жаюға тиым салудан 
Ресей Кіші жүзге ,1750-1770 ж ж 
Жарлыққа сәйкес отаршылдық саясат бастады ,1756 жылғы
1750-1770 жж - Ресей Кіші жүзге қандай отаршылдық саясат бастады? ,1756 жылғы Жарлық 
Ресей Кіші жүзге 1756 жылғы Жарлыққа сәйкес отаршылдық саясат бастады ,1750-1770 жж 
Петропавл бекінісінің салынуы,1752 ж 
Қалмақтар Орта жүзге басып кірді ,1752 ж 
Петропавл шебінің салынуы,1752 ж 
 1752 ж Есіл бойына салынған бекініс , Петропавл
1752 жылы Есілдің бойында бой көтерген қала: ,Петропавл
"Абылай сұлтан ірі қолды басқарып, Жоңғарияға шабуыл жасады",1753 ж 
1754 ж Қазақ хандығына жоңғарлар тарапынан төнген қауіптің тоқтатылуына – ,Қалдан Цереннің өлуі себеп болды 
башқұрт халқы патша үкіметінің отарлау саясатына қарсы азаттық күреске шықты,1755 ж 
"Әмірсана күтпеген жерден Цинь билігіне қарсы шығып, Абылай мен Әбілпайызға арқа сүйеді",1755 ж күзде
жоңғар мемлекетінің иелігі Маньчжур – Цинь өкіметінің меншігі деп жарияланды,1755 ж 19 шілдеде
1755жылы басталған соғыс: ,Қытай-Жоңғар 
Императрица Елизавета Петровна башқұрттардың көтерілісін басуға көмектескені ушін қазақтарға Жайықтың сол жағасында мал жаюға уақытша рұқсат етті,1756 ж 
Орынбор әкімшілігі Кіші жүз қазақтарына Оралдың оңтүстік жағалауына көшіп-қонуға және мал бағуға тиым салды ,1756 ж 2 қазанда
Жайық жағасына жақын жерлерде қазақтарға мал жаюға алғаш рет ресми түрде шек қойылды,1756 ж 2 қыркүйек
Жанқожа батыр Жаңа қаланы көтеріліс тірегіне айналдырды ,1756 ж 
Императрица Елизавета Петровна башқұрттардың көтерілісін басуға көмектескені ушін қазақтарға Жайықтың сол жағасында мал жаюға уақытша рұқсат етті,1756 ж 
Маньчжур – Қытай әскері Іле өзенін бойлай Қазақ хандығын шекарасына жақындады,1756 ж наурыз 
1756 жылы Абылай сұлтан кімге ант берді? ,Қытай 
"1756 жылы Екатерина патшадан Түркістан арқылы өтетін ірі керуенді Семей, Жәміш бекіністерінде қабылдауға рұқсат алған хан – ",Әбілмәмбет
1756 жылы қыркүйекте патша әкімшілігі Кіші Жүз қазақтарына ресми шек қойды: ,Жайық жағалауына мал жаюға
Қазақстан шекарасына Қытайдың армиясы басып кірді ,1757 ж 
 Кіші жүз ханы Нұралыға Жайықтан мал айдап өтуге қазақтарға тиым салынғандығы жөнінде шешім тапсырылды , 1757 ж 24 желтоқсан 
 1757 ж Алтайда кен өндіру ісіне үлкен қауіп төнді Ол: , Маньчжур-Цинь империясы әскерінің қазақ жеріне шабуылына байланысты еді 
"қолбасшылар Фу Дэ, Чжао Хой бастаған қытай әскері Қазақ еліне басып кірді",1757 ж маусым 
Орынбор өлкесін басқарған П И Рычков пен Тевкелев ,1757-1758 жж 
үкімет шешімін ресми түрде іске асырудың орынсыз екенін түсінді,1756
Абылай Қытайдың билігін мойындады,1757-1760 жж 
Жоңғария толық талқандалды,1758 ж 
"дербес ел ретінде тарихи сахнадан жоғалып, 1761 ж Жоңғария Шыңжаң әкімшілік бірлестігі болып Цинь империясының құрамына кірді ",1758 ж 
1758 ж жазда кіші жүз сұлтандарының сьезінде қабылданған шешім – ,Нұралы ханды тақтан тайдыру
"1758 ж – Жоңғария дербес мемлекеті жойылып, орнына 1761 ж империялық әкімшілік бірлестік",Шыңжан құрылды
"Жоңғария талқандалып, халқының - 4/10 -бөлігі аурудан, 2/10-сі Ресейге қашты, 3/10-і Цин әскерінің колынан қаза болды, калғаны Еділ бойындағы қалмақтарға қашты ",1758 ж 
Жоңғария толық талқандалды,1758 ж 
1758 жылы Жоңғарияны толық бағындырған: ,Қытай әскері
Үрімшіде Абылайдың сауда миссиясы жақсы қабылданды,1759 ж 1 қантар 
"Ертіс өңіріне Ресейдің әр түпкірінен жерсіз шаруалар, қылмыскерлер, Дон казактары әкеліп қоныстандырылды ",1760 ж 
бұрыңғы жоңғар жерінде Шыңжаң (жаңа шекара құрылды) ,1761 ж 
Абылай императрица Елизавета Петровнадан ағаш ұстасын және 200-300 пұт астық жіберуді сұрап отырықшылықты дамытты,1761 ж 
"1761 ж Абылай орыстың осы патшасынан ағаш ұстасын және 200-300 пұт астық жіберуді сұрап, хат жазды: ",Елизавета Петровна
бұрыңғы жоңғар жерінде Шыңжаң(жаңа шекар құрылды,1761 ж 
1761 ж Жоңғар аймағында құрылған:, Шыңжан өлкесі
1761 ж Қытайдың Жоңғариядағы жағдайын нығайту үшін құрған аймағы: ,Шыңжаң
1761 жылы Жоңғар хандығының орнына құрылған аймақ:,Шыңжаң
1761 жылы іргесі қаланған бекініс:,Бұқтырма 
"1761ж Абылай орыстың осы патшасынан ағаш ұстасын және 200-300 пұт астық жіберуді сұрап, хат жазды:",Елизавета Петровна
"Әбілмәмбет хан Екатерина патшайымға хат жолдап, Түркістан арқылы өтетін ірі керуенді Семей, Жәміш бекіністерінде шек қоймай қабылдауға рұқсат алды",1766 ж 
1766 жылы Әбілмәмбет ханның ІІ Екатеринаға хат жолдау себебі:,Түркістан арқылы өтетін керуендерді Семей Жәміш бекіністерінде шек қоймай қабылдауға рұқсат алу
"1766 жылы Бұхар саудагерлерінің өтінішімен Әбілмәмбет ІІ Екатеринаға хат жолдап, Түркістан арқылы өтетін керуендерді қай бекіністерде шек қоймай қабылдауға рұқсат алды – ","Семей, Жәміш"
"1766 жылы Екатерина патшадан Түркістан арқылы өтетін ірі керуенді Семей, Жәміш бекіністерінде қабылдауға рұқсат алған хан: ",Әбілмәмбет
2 Екатерина Бұхар саудагерлеріне Қазақстан территориясында еркін сауда жасауға рұқсат берді,1767 ж – 15 қараша
ІІ Екатерина Бұқар саудагерлеріне Қазақстан территориясында еркін саудаға рұқсат берді ,1767 ж 15 қарашада
"П С Паллас өлкеге жасалған алғашқы ғылыми экспидицияның бірін басқарып, «Ресей империясының әр түрлі шет аймақтары бойынша саяхат»енбегін жазды",1769 ж 
"Н Рычков өлкеде мәліметтер жинастырып, «Капитан Н Рычковтың қырғыз- қайсақ даласына саяхатының күнделік жазбалары» енбегін жазды (1772) ",1769-1772 жж 
1771 ж - Орта жүздің ханы Әбілмәмбет қайтыс болғаннан кейін хан тағына отыруға тиіс мұрагер: ,Әбілпайыз
"1771 ж – Түркістанда Орта жүз ханы Әбілмәмбет қайтыс болып, дәстүр бойынша ақсүйектер хан ұлы Әбілпайызды емес – ",Абылайды хан сайлады
"1771 ж ақ киізге көтеріліп, хан сайланған: ",Абылай хан 
1771 ж болған окиға: ,Абылай Түркістанда үш жүздің ханы болып сайланды
"1771 ж Орта жүздің ханы Әбілмәмбет қайтыс болғаннан кейін, хан тағына мұрагерлік жолмен кім отыру керек еді?",Әбілпайыз 
"Түркістанда Орта жүз ханы Әбілмәмбет қайтыс болып, дәстүр бойынша ақсүйектер хан ұлы Әбілпайызды емес Абылайды хан сайлады",1771 ж 
