Question,A,B,C,D,E
13. Определите функцию инфинитива в следующем предложении: He forgot to do his homework when he was at home.  ,A) обстоятельство,B) сказуемое ,C) дополнение ,D) определение,E) подлежащее
"14. Прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: Balzac, the famous French writer, was a man of great talent. But he himself was proud of his ability to tell a person’s character by his or her handwriting. One day a woman brought him a young boy’s exercise-book. She said she wanted to know what Balzac thought of the boy’s character. Balzac studied the boy’s handwriting carefully. Then he said that the boy was a lazy fellow. “It’s very strange,” said the woman smiling. “This is a page from your own exercise-book, which you used when you were a boy.” Balzac … . ",A) Had an exercise-book.,B) Was a man of great talent.,C) Was going by train to France.,D) Was an engineer.,E) Was a famous English writer. 
15. Выберите фразовый глагол со значением «Включить»: ,A) To turn down,B) To turn up,C) To turn off,D) To turn into,E) To turn on
16. Найдите предложение с фразовым глаголом:  ,A) I get up at seven every morning.,B) I have lunch at 12 o’clock.,C) I go to work by bus.,D) I come home at 7 o’clock. ,E) I usually read books in the evening. 
17. Выберите правильный вариант: This is my chair and … your armchair over there. ,A) those are,B) this is ,C) that is,D) its is,E) these are
18. Найдите правильный вариант сказуемого: In Britain the banks … at 9.30 in the morning. ,A) Open.,B) Opening.,C) Has opened.,D) Is opening.,E) Opens. 
19. Определите правильный вариант глагола: When we came back the children … in the garden with two unknown boys. ,A) Are playing.,B) Were playing.,C) Was playing.,D) Would play.,E) Play. 
20. Выберите глагол в форме Present Perfect: ,A) Have win.,B) Had win.,C) Has winning.,D) Has winned.,E) Has won. 
21. Вставьте необходимый модальный глагол: Jack left before the end of the meeting. He ... go home earlier. ,A) can,B) may,C) had to,D) ought,E) must
22. Выберите верный вариант общего вопроса к предложению: Nick used to be interested in collecting cactuses. ,A) Did Nick use to be interested in collecting cactuses?,B) Did Nick used to be interested in collecting cactuses?,C) Used Nick be interested in collecting cactuses?,D) Use Nick to be interested in collecting cactuses?,E) Would Nick use to be interested in collecting cactuses? 
23. Выберите предложение с Герундием: ,A) She is ringing to her best friend.,B) He rang me yesterday.,C) Your ring is very unexpected.,"D) Ring me up, please!",E) Thank you for ringing me up! 
24. Выберите правильный ответ. Tthe highest mountain on the British Isles is … ,A) Scaffel Pike,B) Snowdon,C) Elbrus,D) Royal,E) Ben Nevis
"25. Выберите правильный английский эквивалент данной пословицы: Сколько голов, столько умов. ",A) A good beginning makes a good ending.,"B) East or West, home is best.","C) So many men, so many minds.","D) No pains, no gains.",E) As you make your bed so you must lie on it. 
26. Выберите значение приставки de-: ,A) внутри,B) противоположное значение,C)  сверх-,D) взаимо-,E) повтор действия
27. Укажите правильный вариант сказуемого: He said he … to London in May. ,A) Will come.,B) Would come.,C) Should come.,D) Shall come.,E) Came. 
28. Выберите правильный перевод предложения в страдательном залоге: Фильм был снят в этом году. ,A) The film have made this year.,B) The film was make this year.,C) The film have been made this year.,D) The film has made this year.,E) The film has been made this year. 
29. Выберите правильный вариант перевода на английский язык: Много деревьев было во дворе. ,A) There are many trees in the yard.,B) Many trees were in the yard. ,C) There are no trees in the yard.,D) There is many trees in the yard.,E) Many trees are in the yard. 
30. Выберите предложение с Past Participle: ,A) She is cleaning the flat at this moment.,B) It was raining all day long.,C) He watched boats going up and down the river.,D) The new hotel opened last year was beautiful.,E) He left the room without saying a word. 
 1. Выберите правильное слово This is … way to school. ,A) any,B) –,C) an,D) some,E) the
 2. Дополните предложение: The man standing at the window is … father. ,A) Pavel and Lena’s,B) Pavel and Lena,C) Pavel’s and Lena’s,D) Pavel’s and Lena,E) Pavels and Lenas 
 3. Поставьте глагол в предложении в Present Simple Tense. A palace … a large and splendid building. ,A) is.,B) was.,C) are.,D) were.,E) am. 
" 4. Дополните предложение: We … home, when the rain began. ",A) to leaving,B) was leaving,C) were leaving,D) to be leaving,E) are leaving 
 5. Выберите правильный вариант сказуемого. There … something in the box. ,A) Am.,B) Were.,C) Been.,D) Are.,E) Is. 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Garden,B) Gate  ,C) Gaze   ,D) Geese,E) Gentle   
 7. Найдите синоним слова “To start” ,A) To begin,B) To bring,C) To give,D) To finish,E) To play
 8. Выберите правильный вариант предлога: Go … reading the story. I want to know its end. ,A) Through.,B) Out.,C) On.,D) About.,E) In. 
" 9. К теме ""Library"" относится слово: ",A) Department.,B) Novel.,C) Weather.,D) Garden.,E) Green. 
10. Выразите одним словом: People go in for sports there. ,A) Wood.,B) Stadium.,C) Basket.,D) Mountains.,E) School. 
11. Выберите правильный английский эквивалент данной пословицы: Плохая молва летит на крыльях. ,A) Bad news travels fast.,B) It never rains but it pours.,C) Appetite comes with eating.,D) Look before you leap.,"E) No pains, no gains. "
"12. Выберите верное местоимение. Hello, Tom. Have … seen Pete? ",A) He.,B) You. ,C) She.,D) It.,E) Your. 
13. Выберите правильно построенное предложение: ,A) He said that he return tomorrow.,B) He said that he will return tomorrow.,C) He said that he should return tomorrow.,D) He said that he would return tomorrow.,E) He said that he shall return tomorrow. 
14. Выберите верное причастие: The ... day ,A) Followeding.,B) Followning.,C) Followned.,D) Following.,E) Followeded. 
15. Переведите: Заниматься спортом ,A) To go in for sport.,B) To study sport.,C) To have sport.,D) To sport.,E) To learn sport. 
"16. Найдите прилагательное, имеющее отрицательное значение: ",A) regular,B) understandable,C) indefinite ,D) useful ,E) dependent 
17. Выберите правильный вариант местоимения: There is … in the bag. It’s empty. ,A) Somewhere.,B) No.,C) Any.,D) Anyone.,E) Nothing. 
18. Дополните предложение: That’s the house ... we stayed in May. ,A) where,B) what,C) which,D) who,E) when
19. Выберите правильный вариант множественного числа существительного: Roof ,A) Rooves.,B) Roof.,C) Roofes.,D) Roofs.,E) Roovs. 
20. Найдите правильный вариант перевода: She isn’t allowed to come. ,A) Ей можно не приходить.,B) Она сможет прийти.,C) Она может прийти.,D) Она не может прийти.,E) Ей не разрешают прийти. 
"21. Найдите предложение, имеющее значение будущего времени: ",A) I’m going home now.,B) What is he going to do?    ,C) What are they doing? ,D) He is playing chess now. ,E) They aren’t doing homework now. 
22. Выберите верный вариант общего вопроса к предложению: Everything used to be different many years ago. ,A) Did everything used to be different many years ago?,B) Use everything to was different many years ago?,C) Used everything be different many years ago?,D) Did everything use to be different many years ago?,E) Use everything to be different many years ago? 
23. Определите название формы по приведенному примеру: Drinking. ,A) Indefinite Infinitive Active.,B) Gerund.,C) Participle 2.,D) Progressive Infinitive .,E) Infinitive Passive. 
24. Определите название формы по приведенному примеру: To have gone. ,A) Participle 2.,B) Indefinite Infinitive Active.,C) Gerund.,D) Participle 1.,E) Perfect Infinitive Active. 
"25. Образуйте новое слово “ победоносный “, употребив верный суффикс : ",A) victoral,B) victorive,C) victoriful,D) victoriuos,E) victoriable  
"26. Найдите правильный вариант глагола: In the year 2030, people … the same things as they do now. ",A) shall eat,B) will eat,C) don’t,D) eat,E) ate
"27. Найдите правильный вариант глагола. All the people we … came, and some that we hadn’t invited. ",A) have invited,B) were inviting,C) had invited,D) invite,E) inviting
28. Найдите правильный вариант глагола. There must be a mistake: the hotel . . . by my wife. ,A) are being paid,B) is paying,C) will pay,D) was paid,E) have been paid
"29. Прочитайте текст, выберите правильный ответ на вопрос: Mark Twain once said, “When I was a boy of 14, I thought that my father was the most ignorant of all men. But when I got to be 21, I was surprised at how much the old man had learned in seven years.” What did Mark Twain think about his father? ",A) He got to be 21.,B) He was a boy of 14.,C) He knew very little.,D) He was surprised.,E) He ignored all men. 
"30. Выберите подходящий русский эквивалент к слову “freshman”  In American English, freshman means … . ",A) выпускник,B) новичок в деле,C) первокурсник,D) вновь прибывший,E) второкурсник
 1. Синонимом слова “Rest” является: ,A) Industrious.,B) Work.,C) Tired.,D) Relax.,E) Invent. 
" 2. Выберите правильное слово Pass me … salt, please. ",A) –,B) the,C) those,D) an,E) a
 3. Выберите правильное слово.   This is the … dress. ,A) lady’s,B) ladys’,C) lady,D) of lady,E) ladies 
 4. Определите правильный вариант предложения со сказуемым  в Present Simple Tense. ,A) My uncle has visited Astana this autumn.,B) I went to the shop yesterday.,C) My parents will return home late in the evening.,D) It is very hot in summer.,E) Students are writing a test. 
 5. Выберите подходящий английский эквивалент. На стене напротив двери весит большая картина. ,A) A large picture on the wall opposite the door there is.  ,B) Opposite the door on the wall is there a large picture.,C) There is a large picture on the wall opposite the door.,D) A large picture is there on the wall opposite the door.,E) There is on the wall a large picture opposite the door. 
" 6. Выберите слово, в котором выделенная буква читается отлично от других слов: ",A) Kind.,B) Library.,C) River.,D) Polite.,E) Recite. 
 7. Выберите антоним к слову: “Teacher” ,A) Worker.,B) Driver.,C) Doctor.,D) Student.,E) Engineer. 
 8. Обобщающим для данной группы слов является слово: ,A) Climate.,B) Cloud.,C) Ice.,D) Snow.,E) Rain. 
 9. Выберите верное местоимение: I saw them . This is … cat . ,A) him,B) ours,C) yours,D) me,E) their 
10. Выберите вопросительное местоимение для выделенного слова: They are usually at home in the evening. ,A) Who.,B) Why.,C) When.,D) How.,E) Where. 
11. Выберите правильно построенное предложение: ,A) I hoped that I should find him at school.,B) I hoped that I would found him at school.,C) I hoped that I will find him at school.,D) I hoped that I shall find him at school.,E) I hoped that I should found him at school. 
12. Выберите правильный ответ: Are you going to invite her to the party? ,"A) Yes, there is.","B) Yes, it is.","C) No, I shan’t","D) Yes, I am.","E) Yes, I shall. "
13. Найдите правильный вариант перевода на русский язык:  It’s no use asking him about it.  ,A) Я часто его встречал.,B) Он обычно приходил к нам.,C) Бесполезно его спрашивать об этом.,D) Раньше здесь был дом.,E) Вы скоро привыкнете к этому. 
14. Выберите предложение с герундием: ,A) We have been watching TV since morning.,B) Yesterday Mr. Green watched TV in the evening.,C) Having watched TV we went for a walk.,D) Nick is watching TV now.,E) I enjoyed watching TV. 
15. “To get in” означает:   ,A) Продолжать,B) Преодолеть,C) Распространяться,D) Входить,E) Обойти
16. Дайте определение слову neighbour: ,A) A person who is fond of reading.,B) A person who studies at the institute.,C) A person who is interested in sport.,D) A person who lives near you.,E) A person whom you like. 
17. Закончите фразеологизм: Since …was a boy. Со времени царя Гороха. ,A) Albert.,B) Adam.,C) Alfred.,D) Nick.,E) Adrian. 
"18. Образуйте прилагательное с противоположным значением от слова ""definite"":  ",A) Indefinite. ,B) Imdefinite. ,C) Undefinite. ,D) Redefinite. ,E) Ildefinite. 
19. Найдите имя прилагательное: ,A) nineteen,B) slow,C) read,D) beauty,E) badly
20. Выберите указательное местоимение для предложения: Do you like ... apples? ,A) these,B) this,C) the,D) thise,E) that
21. Выберите неисчисляемое имя существительное: ,A) Soldier.,B) Doll.,C) Weather.,D) Chair.,E) River. 
22. Найдите правильный вариант перевода: Он не идет сейчас домой. ,A) He isn’t going to go home.,B) He is going to go home. ,C) He is going  home now.,D) He’ll go home soon.  ,E) He isn’t going home now. 
23. Выберите правильный модальный глагол: You … eat so many sweets. ,A) Didn’t have.,B) Shouldn’t.,C) Don’t have.,D) Oughtn’t.,E) Haven’t to. 
24. Образуйте форму Participle 2 от глагола lose: ,A) Losed.,B) Lost.,C) To lose.,D) To lost.,E) Losing. 
25. Выберите правильную форму глагола “to be”: Zulfiya … to have made a report on psychology previous Thursday.  ,A) weren’t,B) was,C) is,D) were,E) isn’t
26. Найдите правильный вариант глагола:  I just … a postgraduate degree  in business and administration. ,A) has completed,B) will complete,C) have completed,D) is compliting,E) completing
27. Выберите правильную форму глагола в страдательном залоге: Tomorrow the bill (to pay). ,A) Will be paid.,B) Be paid.,C) Will paid.,D) Pay.,E) Paid. 
"28. Переведите: Интересно, где Сью? Она обещала не опаздывать. ",A) I wonder where Sue was. She promised to be not late.,B) I wonder where Sue. She promised not  be late.,C) I wonder where Sue is. She promised not to being late.,D) I wonder where is Sue. She promises not to be late.,E) I wonder where Sue is. She promised not to be late. 
"29. Прочитайте текст и выполните задание после текста: Mr. Nelson wanted to be elected sheriff in a New Hampshire county. He went from farm to farm asking people to vote for him. Mrs. Marrow saw him coming up one day and reached for the broom. Get off, you good-for-nothing loafer, she shouted. But Mrs. Marrow, said Nelson. I have just come to ask you if you’ll vote for me for sheriff. Sheriff! shouted Mrs. Marrow. Your place is in the lockup, not in the sheriff’s office. You are a scoundrel, and your father was a scoundrel, and your grandfather was a scoundrel. Get out of here before I take this broom to you. Nelson decided to go. Before climbing back into the car,he took out his notebook and wrote, after the name of Marrow, one word: Doubtful. Закончите предложение: Mr. Nelson was ... ",A) ... a President.,B) ... a graduate from New Hampshire University.,C) ... a sheriff.,D) ... a cruel and brave man.,E) ... a candidate for sheriff. 
30. Выберите правильный вариант ответа:  What is the name of the oldest and best known public school for boys in Great Britain? ,A) Norwich,B) Bath,C) Eton,D) Cambridge,E) Oxford 
 1. Выберите правильный вариант артиклей. Kansas is situated in … central part of … USA. ,"A) A, a.","B) -, the.","C) The, the.","D) -, -.","E) An, a. "
 2. Выберите притяжательную форму существительного в единственном числе. ,A) Men’s.,B) Dogs’.,C) Sister’s. ,D) Birds’.,E) Boys’. 
" 3. Поставьте глаголы в предложении в Past Simple Tense. Yesterday my brother … at the cinema, I … also there. ","A) were, am.","B) was, was.","C) is, am.","D) was, were.","E) are, is. "
 4. Выберите правильную  форму глагола . There … any sugar on the table. ,A) isn`t,B) aren`t,C) am,D) are,E) is 
 5. Дополните предложение: We … going to visit Picture Gallery. We are interested in Kazakh art. ,A) is,B) were,C) been,D) are,E) was 
" 6. Выберите слово, в котором выделенная буква читается отлично от других. ",A) Knight   ,B) Keel    ,C) Keen   ,D) Kale     ,E) Keep
 7. Дополните пословицу: Live and … ,A) Live.,B) Think.,C) Earn.,D) Learn.,E) Love. 
 8. Выберите верное местоимение: Mary didn’t know about it. … was at home. ,A) You.,B) Him.,C) They.,D) Me.,E) She. 
 9. Выберите правильный вариант местоимения : … girl is George’s cousin . ,A) those.,B) its.,C) that.,D) mine.,E) these. 
10. Выберите правильный вариант: … is that man in a green suit? I don’t know … ,A) what / his,B) who / this,C) what / whom,D) who / him,E) who / hers
11. Выберите неисчисляемoе существительнoе: ,A) Hero.,B) Army.,C) Rule.,D) Road.,E) Water. 
12. Выберите правильно построенное предложение: ,A) The doctor said that he will come the next day.,B) The doctor said that he should come the next day.,C) The doctor said that he shall come the next day.,D) The doctor said that he would come the next day.,E) The doctor said that he comes the next day. 
13. Выберите страдательный залог герундия в несовершенном времени на примере следующего глагола: To write ,A) be writing,B) having been written,C) writing,D) write,E) being written
"14. Определите, чем является подчёркнутое слово: The girl washing the floor is my sister. ",A) герундием,B) модальным глаголом,C) причастием,D) инфинитивом,E) наречием 
15. Синонимом слова “Discover” является: ,A) Find,B) Meet,C) Close ,D) Open,E) Take
16. Aнтонимoм  слова “Joy”является : ,A) Beauty,B) Grief,C) Laughter,D) Smile,E) Happiness
"17. Выберите фразовый глагол со значением «Продолжать, идти дальше»: ",A) To go without,B) To go on,C) To go off,D) To go back,E) To go in for
18. Переведите пословицу “There is no place like home ”  ,A) Нет ничего лучше родного дома,"B) Одна голова хорошо, две лучше","C) Лучше поздно, чем никогда",D) Долг платежем красен,"E) Без труда, не вытащишь рыбку из пруда"
19. Выразите одним словом: You can cross the river over it. ,A) View.,B) Bridge.,C) District.,D) Economic.,E) Advice. 
20. Найдите правильный вариант слова  “разногласие “: ,A) displeased.,B) disorganized,C) disinterested.,D) dislike.,E) disagreement 
21. Выберите глагол в форме Future Simple:  ,A) Will goes.,B) Will goed.,C) Will go.,D) Will gone.,E) Will went. 
22. Выберите верный вариант общего вопроса к предложению: My father used to be a scientist. ,A) Use my father to be a scientist?,B) Did my father use to be a scientist?,C) Would my father use to be a scientist?,D) Does my father used to be a scientist?,E) Did my father used to be a scientist? 
23. Определите название формы по приведенному примеру: To be going. ,A) Gerund.,B) Participle 2.,C) Participle 1.,D) Continuous Infinitive Active.,E) Indefinite Infinitive Active. 
"24. Прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: Mark Twain was travelling in France. Once he was going by train to Dijon. He asked the conductor to wake him up when they came to Dijon and put him off the train not paying attention to his protests. When he woke up the train was in Paris already. He realized that the conductor had forgotten to wake him up at Dijon. He was very angry. He ran up to the conductor and began to shout at him. The conductor looked at him calmly. “You are not half so angry as the American whom I put off the train at Dijon,” he said. Mark Twain knew … . ",A) The conductor.,B) The way to Dijon.,C) That the conductor would be angry.,D) That it was difficult to make him do it.,E) That it was difficult to wake him up. 
"25. Образуйте новое слово от “ to eat “, выбрав верный суффикс: ",A) y,B) tic,C) al  ,D) ful,E) able 
26. Найти правильный вариант глагола. She told me she … a bad time with her husband. ,A) were having,B) had have,C) was having,D) will have,E) has had
27. Найдите правильный вариант глагола. She fell ill because she … too hard. ,A) had worked,B) had working,C) working,D) has worked,E) works
28. Выберите правильную форму глагола в страдательном залоге: The window (to leave) open by somebody. ,A) Were left.,B) Has been leaved.,C) Was leaved.,D) Has been left.,E) Was leave. 
29. Вставьте необходимый модальный глагол: Weve got plenty of time. We ... hurry. ,A) needn’t,B) must,C) had to,D) may not,E) don’t can
30. Дополните предложение.  In the House of Commons the members sit … . ,A) on three sides of the hall,B) on two sides of the hall,C) on four sides of the hall,D) on two sides and in the middle of the hall,E) on three sides and in the corner of the hall
 1. Выберите правильный  предлог Do not learn all your answers off … heart. ,A) on,B) in,C) at,D) out,E) by 
 2. Выберите правильное слово I don`t like …. music. ,A) a,B) –,C) these,D) those,E) an
 3. Выберите притяжательную форму существительного во множественном числе. ,A) Fans’.,B) Fan’.,C) Fan’es.,D) Fan’s.,E) Fans’s. 
 4. Выберите правильную  форму глагола . There … some people in the park. ,A) aren`t,B) isn`t,C) am,D) are,E) is 
 5. Выберите  подходящий английский эквивалент: Как ты собираешься провести свой выходной? ,A) Where did you go last weekend?,B) How are you going to spend your weekend?,C) How are you getting on?,D) What do you do at the weekends?,E) Where will you go for a weekend? 
 6. Образуйте прилагательное при помощи суффикса.  help                ,A) y,B) able ,C) ful ,D) ic,E) al 
" 7. Выберите верное местоимение. Please, wait for … . I’ll be ready in a minute. ",A) She.,B) I.,C) They.,D) Me.,E) He. 
 8. Выберите верное местоимение: There is … interesting in the newspaper. ,A) anybody.,B) something,C) somebody,D) anything.,E) nobody. 
 9. Выберите вопросительное местоимение для выделенного слова: I am interested in sports. ,A) When.,B) Who.,C) Where.,D) Why.,E) What. 
10. Выберите исчисляемoе существительнoе: ,A) Peace.,B) Rain.,C) Magazine.,D) News.,E) Health. 
11. Найдите правильный вариант глагола: Mag and her sister … in Rome last summer. ,A) was,B) is,C) were,D) am,E) are
12. Выберите правильный вариант формы глагола: The best thing is … in the forest.   ,A) have been walking,B) walking,C) is walking,D) have walked,E) walk
13. Определите функцию инфинитива в следующем предложении: To smoke is bad for health.  ,A) подлежащее ,B) сказуемое,C) дополнение,D) обстоятельство,E) определение
"14. Прочитайте текст, выберите завершение предложения, соответствующее содержанию текста: Balzac, the famous French writer, was a man of great talent. But he himself was proud of his ability to tell a person’s character by his or her handwriting. One day a woman brought him a young boy’s exercise-book. She said she wanted to know what Balzac thought of the boy’s character. Balzac studied the boy’s handwriting carefully. Then he said that the boy was a lazy fellow. “It’s very strange,” said the woman smiling. “This is a page from your own exercise-book, which you used when you were a boy.” Balzac … . ",A) Was a man of great talent.,B) Was an engineer.,C) Had an exercise-book.,D) Was going by train to France.,E) Was a famous English writer. 
"15. Выберите слово, в котором выделенное буквосочетание читается отлично от других слов: ",A) Either.,B) Three.,C) Thunder.,D) Thousand.,E) Earth. 
16. Синонимом слова “Spare” является: ,A) Free,B) Various,C) Busy,D) Clear,E) Different 
17. Выберите фразовый глагол со значением «Включить»: ,A) To turn down,B) To turn off,C) To turn into,D) To turn up,E) To turn on
18. Выберите правильный фразовый глагол: The teacher told us to … the blackboard. ,A) Look after.,B) Look up.,C) Look.,D) Look at.,E) Look for. 
19. “Беспокойный” Найдите правильный перевод: ,A) Continuous,B) Restless,C) Disorder,D) Helpless,E) Groundless
20. Выразите одним словом: A stopping place for trains is a ... ,A) city.,B) village.,C) station.,D) stop.,E) field. 
21. Образуйте новое слово от глагола “write” с помощью следующих приставок. ,A) Ir.,B) Un.,C) Im.,D) Re.,E) In. 
22. Выберите глагол в форме Future-in-the-Past: ,A) Shall been read.,B) Would walked.,C) Will be getting.,D) Would continue. ,E) Should doing. 
23. Выберите правильный модальный глагол. I … skate and ski very well. ,A) Must to,B) Were to,C) Was,D) Can,E) Be able to
24. Поставьте предложение в отрицательную форму: Karen used to go swimming every day. ,A) Karen used to didn’t go swimming every day.,B) Karen doesn’t used to go swimming every day.,C) Karen use not to go swimming every day.,D) Karen don’t used to go swimming every day.,E) Karen didn’t use to go swimming every day. 
25. Задайте вопрос к выделенному слову:  He usually goes to the seaside in summer. ,A) Where does he usually go in summer?,B) When does he usually go to the seaside?,C) Who usually goes to the seaside in summer?,D) Why does he usually go to the seaside?,E) What does he usually do in summer? 
26. Найдите правильный вариант глагола. I … a nightmare when the alarm-clock rang and woke me up. ,A) had,B) have,C) was having,D) have had,E) has had
27. Найдите правильный вариант глагола. It was a firm that I … of. ,A) never hear,B) has never heard,C) nevers hears,D) have never heard,E) had never heard 
28. Выберите правильную форму глагола в страдательном залоге: A delicious cake (to taste) by him now. ,A) Is being tasted.,B) Was being tasted.,C) Is tasted.,D) Has been tasted.,E) Was tasted. 
29. Выберите предложение с Past Participle: ,A) He left the room without saying a word.,B) The new hotel opened last year was beautiful.,C) He watched boats going up and down the river.,D) She is cleaning the flat at this moment.,E) It was raining all day long. 
30. Выберите подходящее слово.  The Whispering Gallery is remarkable for its … . ,A) crowned,B) size,C) acoustics,D) private,E) light
" 1. Выберите слово, близкое по значению: believe. ",A) Reach.,B) See.,C) Suppose.,D) Advise.,E) Notice. 
 2. Дополните предложение: … weather is fine and … sun is shining brightly today. ,A) A | a,B) A | the,C) The | a,D) The | the,E) - | - 
 3. Поставьте глагол в предложении в Past Simple Tense. He … glad to see his friends’ victory in a football game last week. ,A) am.,B) is.,C) are.,D) were.,E) was. 
 4. Выберите правильную  форму глагола . There… a lot of bread on the table. ,A) were,B) is ,C) are,D) am,E) weren`t 
 5. Вставьте  правильную форму глагола   Look out! That dog … bite you. ,A) were going to,B) would,C) is going to,D) am going to,E) are going to 
 6. Выберите слово с ІІI типом слога ,A) Same,B) Barn,C) Base,D) Close,E) Rose
" 7. Найдите прилагательное, имеющее отрицательное значение: ",A) meaningful ,B) hopeful ,C) real ,D) unthinkable,E) famous
 8. Выберите верное местоимение: He has the habit of talking to … . ,A) myself,B) ourselves,C) yourself,D) himself,E) herself 
 9. Вставьте пропущенные местоимения: … book is more interesting than … one.   ,"A) this, that","B) these, this","C) that, that","D) this, those","E) this, these"
10. Найдите правильное местоимение: They believed … it was true. ,A) Which.,B) Who.,C) That.,D) What.,E) Whose. 
11. Дополните предложение существительным в притяжательном падеже Do you know my…daughter? ,A) Uncles’s,B) Uncle’s,C) Uncle ,D) Uncles,E) Uncles’
12. Найдите правильный вариант перевода на русский язык:  It’s no use asking him about it.  ,A) Вы скоро привыкнете к этому. ,B) Бесполезно его спрашивать об этом.,C) Раньше здесь был дом.,D) Я часто его встречал.,E) Он обычно приходил к нам. 
13. Определите функцию герундия в следующем предложении: The meeting was planned for discussing and creating.  ,A) обстоятельство цели,B) подлежащее,C) дополнение,D) сказуемое,E) определение
14. Выберите предложение с Participle I: ,A) Going along the street I met Mary.,B) Our parents want to go to the theatre.,C) Nick likes going to the skating rink.,D) We have gone to Almaty.,E) Yesterday they went to the park. 
15. “To go ahead” означает:    ,A) Двигаться вперед,B) Повышаться,C) Выходить,D) Сопровождать,E) Возвращаться
16. Найдите предложение с фразовым глаголом:  ,A) The sun shines in the sky.,B) They go to school in the morning.,C) There were many people in the street.,D) He was born in October.,"E) Come in, please. "
17. К теме Travelling относится слово: ,A) Tree.,B) Snow.,C) Study.,D) Pupil.,E) Excursion. 
18. Выберите неисчисляемое имя существительное: ,A) River.,B) Weather.,C) Soldier.,D) Chair.,E) Doll. 
19. Выберите глагол в форме Present Perfect Active: ,A) Have does.,B) Have do.,C) Have done.,D) Have doing.,E) Have did. 
20. Выберите правильно построенное предложение: ,A) Aliya said that she would tries to come in time.,B) Aliya said that she shouldn’t try to come in time.,C) Aliya said that she would try to come in time.,D) Aliya said that she should try to come in time.,E) Aliya said that she should tries to come in time. 
21. Выберите правильную форму глагола в страдательном залоге: He  often (to laugh) at. ,A) Is laughed.,B) Were laughed.,C) Are laughed.,D) Have been laughed.,E) Am laughed. 
22. Найдите эквивалент: Ей следует приходить вовремя. ,A) Can she come?,B) She is to come.  ,C) She should come in time. ,D) She had to come in time. ,E) She needn’t come. 
23. Образуйте форму Perfect Infinitive от глагола Tell: ,A) To tell.,B) To be told.,C) To have tell.,D) To have told.,E) To have telling. 
"24. Прочтите текст и ответьте на вопрос после текста:  A traveller who had been riding in rain and was wet through, arrived at a small hotel in the country. There was only one fireplace in the hall and a lot of people around it. The traveller thought of a plan how to get warm. He asked the hotel owner to give some fish to his horse. The hotel owner was surprised but the traveller insisted and the hotel owner did as he was asked. All the people rushed out to see the horse eat fish. The traveller had the fireplace all to himself and felt comfortable. When the hotel owner had returned he said, ""I was sure horses do not eat fish"". - ""Then why did you give it to my horse?"".  Why did the traveller ask the hotel owner to feed his horse with fish?       ",A) because he was tired,B) because he wanted to sleep,C) because he wanted to get warm,D) because he wanted to see the horse eat fish,E) because it was hungry
25. Дополните предложение: They ... sausages at this shop. ,A) cost,B) price,C) bring,D) department,E) sell
26. Выразите одним словом: You send them to your relatives on holidays. ,A) Sorrows.,B) Clouds.,C) Bags.,D) Postcards.,E) Children. 
27.  Образуйте новое слово от “real” c помощью следующих суффиксов.  ,A) Al.,B) Tion.,C) Ment.,D) Ic.,E) Ist. 
28. Найдите правильный вариант глагола. I think I … the report next Monday. ,A) am not finishing,B) won’t  finish,C) don’t finish,D) am not finished,E) haven’t finished
29. Найдите правильный вариант глагола. Professor Asher … another lecture at the same time next week.  ,A) has been giving,B) gives,C) would give ,D) has given,E) will be giving
30. Выберите подходящее слово. From the earliest times the … of London depended upon its water-born trade. ,A) part,B) circumstances ,C) south,D) prosperity,E) north
 1. Выберите антоним слова. Noise. ,A) sail.,B) silence.,C) cut.,D) weight.,E) cheer. 
 2. Дополните предложение: Never cross … street when … light is red. ,A) - | the,B) the | the,C) a | a,D)  - | a,E) the | a  
 3. Выберите правильный вариант притяжательной формы существительного в единственном числе. ,A) people’s organization.,B) men’s rights.,C) reader’s hobby.,D) workmans’ union.,E) grandfathers’s decision. 
 4. Поставьте глагол в предложении в Present Simple Tense. … you as old as your friend? ,A) were.,B) am.,C) are.,D) was.,E) is. 
" 5. Дополните предложение: We … home, when the rain began. ",A) to be leaving,B) was leaving,C) to leaving,D) are leaving,E) were leaving 
" 6. Выберите правильный вариант перевода, обращая внимание на суффикс: “Плата” ",A) Unpayed.,B) Payness.,C) Repayed.,D) Payment.,E) Payful. 
 7. Выберите верное местоимение: I love … very much! ,A) Mines.,B) He.,C) Hers.,D) She.,E) Him. 
 8. Выберите исчисляемое существительное:  ,A) Health,B) Butter,C) Sugar,D) Bottle,E) Time
 9. Выберите правильно построенное предложение: ,A) He said that he shall return tomorrow.,B) He said that he would return tomorrow.,C) He said that he return tomorrow.,D) He said that he should return tomorrow.,E) He said that he will return tomorrow. 
10. Выберите правильный вариант сказуемого: There … someone at the door. ,A) Is,B) Are,C) Were,D) Be,E) Am
11. Найдите правильный вариант сказуемого: I … to clean the carpet. ,A) Going.,B) Am going.,C) Goes.,D) Are going.,E) Is going. 
12. Выберите правильный вариант формы глагола: He was looking forward to … to Astana to business-trip.    ,A) sent,B) is sending,C) being sent,D) sending,E) have send 
13. Определите функцию инфинитива в следующем предложении: I was the first to come. ,A) сказуемое,B) подлежащее,C) дополнение ,D) определение ,E) обстоятельство 
