question,answer
есім қайты болып ахмет йассауи кесене жерле ,1628 ж 
1628 1652 жылда қазақ ханы болған есімнің балас ,жәңгір
1628 1652 жылда хан тағын отырғ есім ханны балас ,жәңгір
жәңгір хан болды ,1629 1652 ж 
қазақ ханы есімнің ұлы жәңгір болды салқам жәңгір ,1629 1652 жж 
қалма шабуыл үлкен ноғай еділд батыс кіші ноғай қосыл ,1634 ж 
батур қонтайшы қазақ оңтүс аудан шабуыл жасап жетіс көп бөлігі жаула алды ,1635 ж 
батыс моңғол жоңғар әскер феодалд мемлек құрыл ,1635 ж 
батур қонтайшы қазақ оңтүс аудан шабуыл жасап жетіс көп бөлігі жаула алды ,1635 ж 
батыр қонтайшы жетіс көп бөлігі жаула алды ,1635 ж 
163516431652 жылда қазақ қарсы жорық басқа қонтайшы ,батыр
1635 1654 жж батыр қонтайшы биледі 1640 жылы салын бекініс ,гурьев
жәңгір ханны 600 жанкешті сарбаз жоңғар 50 мың әскер қарсы тұрып жеңіс жетті ,1643 ж 
1643 ж жоңғар карсы ерлік шайкас хан ,жәңгір 
орбұлақ шайқа ,1643 ж 
1643 ж арал өңірі қазақ өздері ханы етіп сайла ,әбілғазыны 
1643 ж жоңғар қарсы ерлік шайқа хан ,жәңгір
1643 ж орбулақ шайқа батыр ," найман көксерек алшын жиембет қаңлы сарпық шапырашты қарасай арғын ағынтай "
1643 ж орбұлақ шайқа жоңғар ," 10 мың әскерінен айырылды "
1643 ж орбұлақ шайқа батыр ," найман көксерек алшын жиембет қаңлы сарпың шапырашты қарасай арғын ағынтай "
1643 жылғы жәңгір ханны басшы қазақ жоңғар жеңген шайқа ," орбұлақ шайқасы"
1643 жылғы орбұлақ шайқа ұйымд қатыс батыр ," шапырашты қарасай арғын ағынтай найман көксерек алшын жиембет қаңлы сарпың "
1643 жылы арал өңірі қазақ сайла хан ," әбілғазы"
1643 жылы болған шайқа ,орбұлақ
1643 жылы жәңгір ханны басшы қазақ жоңғар жеңген шайқа ," орбұлақ "
1643 жылы жоңғар шайқа алшын жалаң батыр көмек келді ," жәңгір ханға "
1643 жылы қазақ жоңғар ұрысында қазақ әскер қай хан басқа ," жәңгір хан "
ресей зеңбіре сатып алып қарул жоңғар қазақ жерін қайта шабуыл қазақ әскер женді майда жәңгір хан қайты болды ,1652 ж 
1652 жылы қазақ жерін шабуыл жасағ жоңғар қонтайшы ,батыр
әз тәуке хан билігі ,1657 1718 ж 
әлібекұлы төле би жаныс руына шыққан ұлы жүзді биі ,1663 1756 жж 
әйтеке би ,1666 1722 жж 
қаз дауыс қазыбек орта жүз арғын ішінде каракесек ,1667 1764 жж 
1675 1768 жылда өмір сүрген ауыз әдеби өкілі көрнект жырау ," ақтамберді жырау"
жоңғар оңт қазақ жорығы кезін түркі ала алмады ,1680 ж 
1680 ж жоңғар шабуыл түркі қаласы аман қалу себеб ,тәуке хан әскерімен қалада болды
1680 жылда жоңғар әскер жетіс мен оңтүс қазақ баса көкте кіріп басып алған қалал саны ,9
1680 жылы жоңғар шапқы кезін аман қалған қала ,түркістан
1680 жылы қазақ ханды билігі қолын алған жәңгір ханны ұлы ,тәуке
тәуке хан билігі ,1680 1718 ж 
1680 1718 жылда қазақ ханды басқа ,тәуке хан
1680 1718 жылда қазақ ханы болды ,тәуке хан 
1681 1685 жылда жоңғар феодалд оңтүс қазақ басып кіріп қират қала ,сайрам
1681 1685 жылда оңтүс қазақ басып кірген жоңғар әскер бір бөлігі жетті ,сарысу өзеніне дейін
1681 1685 жылда жоңғар феодалд оңтүс қазақ жерін шабуыл жасап әскер бір тобы жетті ,сарысу өзеніне дейін
1681 1685 жылда жоңғар феодалд оңтүс қазақ бірнеш рет шабуыл жасау нәтиже қират қала ," сайрам "
1681 1685 жылда оңтүс қазақ жерін бірнеш рет шабуыл жасады ," жоңғарлар"
1684 1781 жылда өмір сүрген қазақ әдеби алдың қатар өкілд бірі белгі жырау ,букар жырау
сібір 5 рет елшіл жібер орыс қазақ қатын дамыт ,1686 1693 ж 
тәуке хан сібір 5 рет елшіл жібер орыс қазақ қатын дамыт ,1686 1693 жж 
тәуке орта азиямен сауда дамыт ,1687 1688 жж 
бөгенбай батыр ,1690 1775 жж 
қарак қабан шын аты ерасыл ,1691 1769 жж 
кіші жүзде әбілхайыр билігі ,1693 1748 ж 
кіші жүзде әбілхайыр билігі ,1693 1748 жж 
тәуке хан 1 петрмен елші аталы арқылы сауда байла күшей туралы келіс ,1694 ж 
1694 ж тәуке хан і петрмен елші аталы арқылы кандай келіс жасады ,сауда байланысын күшейту
1694 ж і петрмен елші аталы арқылы сауда байла дамыт келіс жасағ хан ,тәуке
1694 жылы і петрмен елші аталы арқылы сауда байла дамыт келіс жасағ хан ,тәуке
1694 жылы і петрмен елші аталы арқылы сауда байла жасағ ,тәуке хан
17 ғ түркі қаласы тән емес белгі ," ұлықбектің кесенесі орналасқан "
1706 1778 жылда өмір сүрген белгі жырау ,үмбетей
құтты наурыз ," 1706 1781 жж "
1708 жылы башқұрт көтер кезін оларға қолда көрсе хан ," тәуке хан"
1710 ж жоңғар қарсы күрес үшін үш жүз өкілд бас қосқан жері ,қарақұм
1710 ж қазақ жүзде қарақ маңын бас қосу себеб ,жоңғарларға қарсы тойтарыс беру 
қарақ жиыны ,1710 ж 
1710 ж тәуке ханны ордасы үш жүзді өкілд қандай мәселе талқыла ,жоңғарларға тойтарыс беру үшін әскери күшті үйымдастыру 
1710 жылғы қазақ жүзде белгі өкілд бас қосьіп жоңғар қарсы төтеп беру мәселе талқыла жер ,қарақұм маңы
1710 жылы жоңғар қарсы күрес үшін үш жүз өкілд бас қосқан жері ," қарақұм"
1710 жылы жоңғар қарсы үш жүз басын қосқан ,тәуке хан 
1710 жылы жоңғар қарсы үш жүзді басын қосқан ,тәуке хан 
1710 жылы қазақ жерін қарақ маңын бас қосу себеб ,жоңғарларға қарсы тойтарыс беру 
1710 жылы қазақ жүзде белгі өкілд бас қосып жоңғар соққы беру мәселе талқыла жер ,қарақұм
1710 жылы қазақ жүзде белгі өкілд жоңғар соққы беруді мүмкін талқыла жер ,қарақұм
қазақ жүзде өкілд қарак маңын бас косып талқыла мәселе жау шабуыл ,1710 жылы
1710 жылы тәуке ханны ордасы үш жүзді өкілд талқыла мәселе ,жоңғарларға қарсы күш біріктіру
абылай хан өмір сүрген жылда ,1711 1781 ж 
абылай хан өмір сүрген жылда ,1711 1781 жж 
1711 1781 жылда өмір сүрген қазақ ұлы ханы ,абылай
1712 ж қазақ жасақ басып кірді ,жоңғарияға 
1714 1716 1720 жылда ертіс өзені бойын салын бекініс ,железинск коряков
1714 1716 1720 жылда ертіс бойын салын бекініс ," жәміш өскемен "
1714 1716 1720 жылда ертіс жағала салын бекініс ," омбы семей "
1714 1720 жылда ертіс өзені жоғар жағын тұрғы бекініс ,жәміш омбы колбасинск железинск
1714 1720 жылда патша өкімет ертіс бойын әскер бекініс салуд басты мақсат ," қазақ өлкесін біртіндеп жаулап алу "
1715 жылы тәуке өлген кейін оның мирасқоры ," қайып"
жоңғар шапқы кеулей баста тәуке хан сібір губерн князь м п гагар елшісі жібер қалма қарсы күрес қолда өтінген ,1716 ж 
қайып ханны 1 петрге жібер елшіл ,1716 ж 
омбы ямышевск бекініс салын ,1716 ж 
1716 ж қыркүйе қайып ханны тобольскіге елшіл кім басқа ,бекболат екешов және байдаулет бориев 
1716 ж і петрге елшіл жібер хан ,тәуке хан 
1716 1720 жылда ертіс өзені бойын салын бекініс ,железинск коряков
1716 1720 жылда ертіс бойын салын бекініс ,жәміш өскемен
1716 1720 жылда ертіс жағала салын бекініс ,омбы семей
железин қамал салын ,1717 ж 
3 жүзді билеген тәуке қазас кейін жоңғар шапқы күшей ,1718 ж 
аягөз шайқа ,1718 ж 
1718 ж жоңғар казақ шайқа болған жер ,аягөз маңы
семипалатинск қамал салын ,1718 ж 
1718 ж аягөз бойын қазақ жоңғар ұрысында қазақ жеңіл себеб неде ,әбілқайыр қайып сұлтандар соғыс қимылын келісіп жүргізбеді
1718 ж қазақ жоңғар шайқа болған жер ,аягөз өзені жағасында
1718 жылы аягөз түбін қазақ жоңғар шайқа жеңіл қалуы себеб ,әбілқайыр мен қайыптың өзара келіспеушілігі
1718 жылы аягөз бойын қазақ жоңғар ұрысында қазақ жеңіл себеб неде ,әбілқайыр қайып сұлтандар соғыс қимылын келісіп жүргізбеді 
1718 жылы аягөз маңын қазақ жасақ сәтсіздік ұшыра себеб ,әбілқайыр мен қайып сұлтанның соғыс қимылдарын келісіп жүргізбеуі 
1718 жылы жоғар ртіс бойын салын әскер бекініс ,семей 
1718 жылы жоңғар шайқа болған жер ,аякөз өзені
1718 жылы қабан жауға батыр басшы жоңғар жеңген жер ,аягөз өзені бойы
1718 жылы қазақ жерін салын бекініс ,семей
1718 жылы қазақ жоңғар шайқа болған жер ,аягөз өзені жағасында
1718 жылы салын бекініс ,семей
батыр болат тәуке ханны бел балас билігі ," 1718 1726 жж "
кіші жүзді күшік биледі ,1718 1750 жж 
өскем бекініс салын ,1720 ж 
ұлы жүзді жолбарыс хан басқа ,1720 1740 жж 
цинь импер канси қайты болған кейін жоңғар барлы әскер қазақ еліне қарсы жібер мүмкін алды ," 1722 ж "
1722 жылда кейін цеван рабтанның қазақ қарсы барлы күшін жұмса ықпал етті ," цинь ханы кансидің өлуі "
1722 жылда кейін цеван рабтанның қазақ қарсы барлы күшін жұмса не ықпал етті ,ресейдің қазақтарды қолдаудан бас тартуы 
1722 жылы жоңғар бар күшін қазақ жерін жұмса мүмкін алуы ,канси өлген соң цин империясымен қарым қатынасын ретке келтіруі
1723 ж жоңғар ығысқан орта жүз рулар ойысқан өңір ,самарқан
цеван рабдан баста 70 мың жоңғар әскер 7 шепке бөлін қазақ өлкес ойран ,1723 ж 
1723 ж жоңғар барлы күш қуаты қазақ еліне қарсы жұмса мүмкін алуын себеб ,цин империясының қазақ жеріне шабуылы
1723 жылы қазақ жерін басып кірген жоңғар әскер саны ,70 мың
1723 1725 жж ұрыста нәтиже қазақ қай қалал айыры ,түркістан ташкент 
ақтабан шұбырынды алакөл сұлама ақ мешін ,1723 1727 жж 
1724 1725 жылда жоңғар басып алған қалал ,түркістан ташкент
сәмеке хан орта жүз аймағы биледі ,1724 1738 жж 
ордабасы жиыны үш жүзді жасақ жинал жауға соққы беру жөнінде келіс келді ,1726 ж 
1726 ж жоңғар талқа қандай маңыз болды ,қазақ халқын басқыншыларға қарсы күреске жұмылдырды 
1726 ж қазақ жасақ жоңғар әскер күйре соққы берген жер ,бұланты өзені
қалма қырыл шайқа сарысу орта ағысы торғай даласы ,1726 ж 
ордабасы жиыны үш жүзді жасақ жинал жауға соққы беру жөнінде келіс келді ,1726 ж 
1726 ж петерб елші көбекұлы келген казақ ресей құрам кіруі жөнінде мәселе қарал себеб ,ресей қазақ елшілігінің өкілетгілігіне күмәнданды 
1726 жылы қалма қырыл шайқа болған өзенн жағасы ,бұланты
1726 жылы болған қалма қырыл шайқа маңыз ,қазақстанның солтүстік батысы азат етілді
1726 жылы қазақ әскер жоңғар ойсырата соққы берген жер ,бұланты өзені жағасында 
1726 жылы қазақ жасақ жоңғар талқа басы болған оқиға ," қалмақ қырылған қарасиыр деген жерде "
болат хан билігі ,1726 1730 жж 
1728 ж қазақ жүзде өкілд жоңғар қарсы күрес үшін бас қосқан жері ,ордабасы 
1728 ж бұлан бойын шайқа қазақ жасақ саны ,60 мың
1728 ж жоңғар шайкас болған жер ,бұланты
1728 жылы қазақ жасақ жоңғар әскер күйре соққы берген жер ,бұланты өзені
аңыра шайқа балқа көлі оңт ,1729 ж 
кіші жүз билер әбілхайыр жоңғар қарсы күрес үшін ресей әскер одақ құруд тапсыр алайда әбілхайыр елшлеріне ресей құрам кіру құжат тапсыр ,1730 ж 
1730 ж ресей жібер қазақ елшіл ,қойдағұлұлы қоштайұлы
1730 жылы аңыра шайқа басшы жасады ,әбілқайыр
райым батыр ,1730 1829 жж 
елшіл сейітқұл құндағұлұлы құтлы қоштайұлының кіші жүзді импер құрам қабыл туралы ұсыны импер анна иоановна қабыл ,1731 19 ақпан 
кіші жүзді 27 старш ресей қол астын кіруге ант берді ,1731 ж 10 қазан
елшіл сейітқұл құндағұлұлы құтлы қоштайұлының кіші жүзді импер құрам қабыл туралы ұсыны импер анна иоановна қабыл ,1731 ж 19 ақпан
1731 ж казанда кіші жүзді 29 старш жинал қарас мәселе ,ресейге қосылу жөнінде ант беру
1731 ж кіші жүзді ханы қай жерде ресей өз еркімен қосыл жөнінде ант берді ,хан ордасы 
а и тевкелев басқа елшіл жібер ,1731 ж қазанда
қазақ а и тевкелев басқа елшіл жібер ,1731 ж 
1731 жылы 10 қазан қазақ старш жиылысының едәуір бөлігі кіші жүзді ресей қосыл жөнінде актіні қабыл қолда осы актіні қабыл қарсы күрес кім басқа ,барақ сұлтан 
1731 жылы ақпан айының 19 күні кіші жүз елшіл анна иоаяновнаның қабыл болып талқыла мәселе ,кіші жүзді империя құрамына қабылдау 
1731 жылы әбілқайыр қолда ресей қол астын кіруге ант берген кіші жүз старш саны ,29 старшын
1731 жылы ресей құрам кіші жүз қазақ алу жөнінде документке қол қою қай жерде өтті ,хан ордасында 
әбілхайыр кіші жүзге хан болды ,1731 1748 ж 
уса серен баста жоңғар қолы қара ертіс келіп зайсан аягөз жетіп қарқар баянауыл таулар асып кәрітауға ат басын тірейді ,1733 ж 
орыс үкіме сенат хатшы и к кирил басқа экспидиция жабдықта ,1734 ж мамырда 
1734 ж ресей құрыл қырғы қайсақ экспе жетек ," кириллов"
1734 ж ресей құрыл қырғы қайсақ экспе мақсат бірі ,кіші жүз жеріндегі табиғи ресурстарды зерттеу
импер анна иоанн ұлы жүзді ресей құрам қабыл келіс жөнінде жарлы шығар ," 1734 ж 10 маусым "
1734 жылы и к кирил баста арнай экспе мақсат ," ор бекінісін тұрғызу "
1734 жылы и к кирил басқа экспе мақсат ," орынбор қаласын салу"
1740 жылы тамыз орта жүз ханы әбілм пен абылай султан орскі келіп билігі мойын импер ," ресей"
1741 ж жоңғар тұтқиыл шабуыл салдары тұтқын түскен саяси тұлға ,абылай
1741 ж жоңғар тұтқиыл шабуыл тұтқын түскен саяси тұлға ,абылай
орта жүз қазақ ор бекініс дейін ығысты қалма ,1741 1742 жж 
ақтабан шұбырынды ,1741 1742 жылдары
1734 жылы құрыл қырғы қайсақ экспе басқа ," и кириллов"
1734 жылы ресей құрыл қырғы қайсақ экспе жетек ," и к кирилов "
1734 жылы ресей құрыл қырғы қайсақ экспе мақсат бірі ," кіші жүз жеріндегі табиғи ресурстарды зерттеу"
орта жүз ханы әбілм билігі ,1734 1771 жж 
ор өзені бойын ор бекініс негіз салын ,1735 ж 
1735 жылы башқұрт көтер басқа қолба ," батырша"
1735 жылы қазақ солтүс өзен бойын салын бекініс ,ор
1735 жылы патша отарл саясат қарсы күрес шыққан башқұрт қарсы жаныш кезін бас сауғалап көрші қазақ қашқа ,50 мың 
1737 ж әбілқайыр кіші жүзді жасақ қандай көтер басып таста жұмса ,башкириядағы көтерілісті 
орыс үкіме кіші жүзді жасақ башқұрт көтер басуға пайда ," 1737 ж"
орыс үкіме кіші жүзді жасақ башқұрт көтер басуға пайда ," 1737 жылы"
орынб комисс басшы тарих в н татищев орынб қазақ сұлтан съезі өткіз кіші жүзде 15 орта 27 старш ант берді ,1738 ж тамыз айында
1738 ж орынб әбілқайыр қатар ресей акт берген кіші және орта жуз старш саны ,60 
1738 жылы қазақ сұлтан съезі шақыр ,орынборда 
1738 жылы орынб қазақ сұлтан съезі шақыр орынб комисс басшы ,в татищев
иран әмірші нәдір хиуаны талқа сырдария өңірі жақын қазақ жағдай ауырла ,1740 ж 
әбілм хан мен сұлтан абылай орынб келіп ресей билігі мойын ,1740 ж 28 тамыз
иран әмірші нәдір хиуаны талқа сырдария өңірі жақын қазақ жағдай ауырла ,1740 ж 
1740 ж орта жүз ханы әбілм пен абылай сұлтан ант берген мемлек ,ресей
1740 ж орта жүзді ханы әбілм пен сұлтан абылай ант берді ,ресей 
әбілм хан мен сұлтан абылай орынб келіп ресей билігі мойын ,1740 ж 28 тамыз 
1740 жылы кіші жүз сырдария қазақ жағдай қиынд түсуі ,парсы әмірінің хиуаны талқандауы
1740 жылы кіші жүзді шекар қауіп төнді мемлек ,иран
1740 жылы кіші жүзді шекар қауіп төнді мемлек ,парсы
1741 1742 жылда орта мен кіші жүзге ұйымд ,қалдан серен 
1741 1743 жж абылай сұлтан тұтқын болды ,жоңғарияның
қолда церен орта жүз бен кіші жүзге екінш ақтабан шұбырынды жорық жасады ,1741 42 жж 
1742 ж ресей қарама қазақ қысым жасама талап етіп қалдан ссренге хат жолда орынб басшы ,неплюев
ресей сенат қазақ және шекалалық бекініс қорға жөнінде жарлы шығар ,1742 ж 20 мамыр
1742 ж 20 мамыр ресей сенат жарлы ,қазақтарды және шекаралық өңірдегі бекіністерді қорғау туралы
1742 ж 2 ші қыркүйе қазақ қысым жасау тоқта талап етіп қалдан серен хат жазға ,орынбор комиссиясының басшысы неплюев
абылай сұлтан жоңғар тұтқын түсіп 1743 ж қиыншылы босады ,1742 ж 
орынб комисс басты и неплюев галдан церен хат жолда ресей қарама қазақ қысым жасама талап етті ,1742 ж 2 қыркүйекте
сырым датұлы өмір сүрген жылда ,1742 1802 ж 
пугачев жасағ басқа ,1775 ж
сырым датұлы өмір сүрген жылда ,1742 1802 жж 
орынб шекар комисс төраға и и неплюев орск қалаш жаңа жерге көшір қоныс орынб деп аталды ,1743 ж 
тұтқын босаған абылай жоңғар феодалд күрес өрісте ,1743 ж 
жоңғар қонтайшы галдан церен қайты болуы байла таққа талас баста орта азия жағдай шиеле кетті ,1745 ж 
қонтайшы қазас кейін таққа талас бірі әмірсана абылай панала орта жүзге қашты ,1745 ж 
жоңғар қонтайшы галдан церен қайты болуы байла таққа талас баста орта азия жағдай шиеле кетті ," 1745 ж "
1745 ж қазақ жерін жоңгар шапқы уақыт тоқта не себеп болды ," қалдан сереннің қайтыс болуы жоңғарлардың өз ішінде билік үшін күресті күшейтті "
1745 ж қазақ жерін жоңғар шапқы уақыт тоқта әсер еткен жағдай ,қалдан цереннің қайтыс болуы мен жоңғарлардың өзара билікке талас тартыс күшейді 
қонтайшы қазас кейін таққа талас бірі әмірсана абылай панала орта жүзге қашты ,1745 ж 
1745 жылы жоңғар қазақ жерін жорығы уақыт тоқта себеб ,қалдан сереннін қяйтыс болуы
қазақ даласы арқылы орынб жеткі 135447 қой 49697 жылқы 7740 ешкі 238 бұқа жалпы құны 1 млн сом шмасында бағал ,1745 1759 ж 
1745 1759 жылда орынб жеткі мал басын құны ,1 млн сом
1747 ж алтандың тау кен кәсіп орыс патша огбасынарының менші деп жария ,елизавета петровна
1747 ж орыс патша елизавета петро алтай өңірі тау кен кәсіп жөнінде шешім ,орыс патшалары отбасыларының меншігі деп жариялады 
1747 ж орыс патша елизавета петро алтай тау кен кәсіп жөнінде шешім ,орыс патшалары отбасыларының меншігі деп жариялады
патша елизавета петро үкіме демидовтар әулет қолын болған алтай тау кен кәсіп орыс патша менші деп жария ,1747 ж 
хиуа тағын батыр сұлианның балас қайып отыру қазақ ханын бұл өңірде ықпал әлсіре ,1747 ж 
1747 жылы е петро шешім ,алтай тау кен кәсіпорындары патша отбасының меншігі 
1747 жылы нәдір шах өлген кейін хиуа тағын отырғ хан ,қайып сұлтан
1747 жылы орыс патша елизавета петро алтай өңірі тау кен кәсіп жөнінде шешім ,бұл өңірді демидовтар әулетіне сыйға тартты 
1747 жылы хиуа тағын сайла ," қайып "
ор бекініс маңын әбілхайыр мен ресей диплом кезде екі арада салқындықты жойған болды ," 1748 ж "
ұлқияқ және торғай өзенде арасы қақтығыс әбілхайыр барақ сұлтан қолын қаза тапты ,1748 ж 
1748 ж абылай хан мен оның жақгастары ресей қосыл жөнінде келіс келген кезде тағы қандай мәселе қарал ,жоғарырыда аталғандар 
1748 ж нұралы ханды мойын шекті руы өз ханы деп таныды ,батыр сұлтанды
ор бекініс маңын әбілхайыр мен ресей диплом кезде екі арада салқындықты жойған болды ,1748 ж 
1748 жыды нұралы ханды мойын шекті руы өз ханы деп таныды ,батыр сұлтанды
әбілхайыр сұлтан қолын қаза тапты ,1748 жылы 
барақ сұлтан әбілхайыр ханды өлтір ,1748 жылы
1748 жылы нұралы ханды мойын шекті руы өз ханы деп таныды ," батыр сұлтанды"
1748 жылы сұлтан абылай кімге ант берді ,ресей
тілеуке құлекеұлы шал акын көкше өңірде туған әкесі абылай батыр анасы төле бидің туған қызы ,1748 1819 ж 
1749 жылды 10 шілде кіші жүзді қай ханы россия ант берді ,нұралы
1750 1770 ж ж кіші жүзде ресей отарл саясат қандай шаралар көрін ,жайық бойына жақын жерлерге мал жаюға тиым салудан 
ресей кіші жүзге ,1750 1770 ж ж 
жарлы сәйкес отаршыл саясат баста ,1756 жылғы
1750 1770 жж ресей кіші жүзге қандай отаршыл саясат баста ,1756 жылғы жарлық 
ресей кіші жүзге 1756 жылғы жарлы сәйкес отаршыл саясат баста ,1750 1770 жж 
петро бекініс салын ,1752 ж 
қалма орта жүзге басып кірді ,1752 ж 
петро шебін салын ,1752 ж 
1752 ж есіл бойын салын бекініс ," петропавл"
1752 жылы есілд бойын бой көтер қала ,петропавл
абылай сұлтан ірі қолды басқа жоңғар шабуыл жасады ,1753 ж 
1754 ж қазақ ханды жоңғар тарап төнген қауіп тоқта ,қалдан цереннің өлуі себеп болды 
башқұрт халқы патша үкіме отарл саясат қарсы азатты күрес шықты ,1755 ж 
әмірсана күтпе жерде цинь билігі қарсы шығып абылай мен әбілпайыз арқа сүйеді ,1755 ж күзде
жоңғар мемлек иелігі маньчжур цинь өкімет менші деп жария ,1755 ж 19 шілдеде
1755жылы баста соғыс ,қытай жоңғар 
импер елизавета петро башқұрт көтер басуға көмек ушін қазақ жайық сол жағасы мал жаюға уақыт рұқсат етті ,1756 ж 
орынб әкімшіл кіші жүз қазақ оралд оңтүс жағала көшіп қонуға және мал бағуға тиым салды ,1756 ж 2 қазанда
жайық жағасы жақын жерле қазақ мал жаюға алғаш рет ресми түрде шек қойыл ,1756 ж 2 қыркүйек
жанқожа батыр жаңа қалан көтер тірегі айнал ,1756 ж 
импер елизавета петро башқұрт көтер басуға көмек ушін қазақ жайық сол жағасы мал жаюға уақыт рұқсат етті ,1756 ж 
маньчжур қытай әскер іле өзені бойлай қазақ ханды шекар жақын ,1756 ж наурыз 
1756 жылы абылай сұлтан кімге ант берді ,қытай 
1756 жылы екатерин патша түркі арқылы өтетін ірі керуен семей жәміш бекініс қабыл рұқсат алған хан ,әбілмәмбет
1756 жылы қыркүйе патша әкімшіл кіші жүз қазақ ресми шек қойды ,жайық жағалауына мал жаюға
қазақ шекар қытай армия басып кірді ,1757 ж 
кіші жүз ханы нұралы жайық мал айдап өтуге қазақ тиым салын жөнінде шешім тапсыр ," 1757 ж 24 желтоқсан "
1757 ж алтай кен өндір ісіне үлкен қауіп төнді ол ," маньчжур цинь империясы әскерінің қазақ жеріне шабуылына байланысты еді "
қолба фу дэ чжао хой баста қытай әскер қазақ еліне басып кірді ,1757 ж маусым 
орынб өлкес басқа п и рычков пен тевкелев ,1757 1758 жж 
үкіме шешім ресми түрде іске асыру орынсыз екені түсін ,1756
абылай қытай билігі мойын ,1757 1760 жж 
жоңғар толық талқа ,1758 ж 
дербес ел ретінде тарих сахна жоғал 1761 ж жоңғар шыңжа әкімшіл бірлес болып цинь импер құрам кірді ,1758 ж 
1758 ж жазда кіші жүз сұлтан сьезі қабыл шешім ,нұралы ханды тақтан тайдыру
1758 ж жоңғар дербес мемлек жойыл орнын 1761 ж импер әкімшіл бірлес ,шыңжан құрылды
жоңғар талқа халқы 4 10 бөлігі ауруд 2 10 сі ресей қашты 3 10 і цин әскер колына қаза болды калған еділ бойын қалма қашты ,1758 ж 
жоңғар толық талқа ,1758 ж 
1758 жылы жоңғар толық бағын ,қытай әскері
үрімшіде абылай сауда миссиясы жақсы қабыл ,1759 ж 1 қантар 
ертіс өңірі ресей әр түпкі жерсіз шаруа қылмыс дон казак әкелі қоныс ,1760 ж 
бұрыңғы жоңғар жерін шыңжа жаңа шекар құрыл ,1761 ж 
абылай импер елизавета петро ағаш ұстасын және 200 300 пұт астық жібер сұрап отыры дамыт ,1761 ж 
1761 ж абылай орыст осы патша ағаш ұстасын және 200 300 пұт астық жібер сұрап хат жазды ,елизавета петровна
бұрыңғы жоңғар жерін шыңжа жаңа шекар құрыл ,1761 ж 
1761 ж жоңғар аймағы құрыл ," шыңжан өлкесі"
1761 ж қытай жоңғар жағдай нығай үшін құрға аймағы ,шыңжаң
1761 жылы жоңғар ханды орнын құрыл аймақ ,шыңжаң
1761 жылы іргесі қалан бекініс ,бұқтырма 
1761ж абылай орыст осы патша ағаш ұстасын және 200 300 пұт астық жібер сұрап хат жазды ,елизавета петровна
әбілм хан екатерин патша хат жолда түркі арқылы өтетін ірі керуен семей жәміш бекініс шек қойма қабыл рұқсат алды ,1766 ж 
1766 жылы әбілм ханны іі екатерин хат жолда себеб ,түркістан арқылы өтетін керуендерді семей жәміш бекіністерінде шек қоймай қабылдауға рұқсат алу
1766 жылы бұхар сауда өтініш әбілм іі екатерин хат жолда түркі арқылы өтетін керуен қай бекініс шек қойма қабыл рұқсат алды ,семей жәміш
1766 жылы екатерин патша түркі арқылы өтетін ірі керуен семей жәміш бекініс қабыл рұқсат алған хан ,әбілмәмбет
2 екатерин бұхар сауда қазақ территория еркін сауда жасау рұқсат берді ,1767 ж 15 қараша
іі екатерин бұқар сауда қазақ территория еркін сауда рұқсат берді ,1767 ж 15 қарашада
п с паллас өлкеге жасал алғаш ғылым экспидиция бірін басқа ресей импер әр түрлі шет аймақ бойын саяхат енбег жазды ,1769 ж 
н рычков өлкеде мәлім жинастыр капита н рычков қырғы қайсақ даласы саяхат күнде жазба енбег жазды 1772 ,1769 1772 жж 
1771 ж орта жүзді ханы әбілм қайты болған кейін хан тағын отыру тиіс мұрагер ,әбілпайыз
1771 ж түркі орта жүз ханы әбілм қайты болып дәстүр бойын ақсүйе хан ұлы әбілпайыз емес ,абылайды хан сайлады
1771 ж ақ киізге көтер хан сайла ,абылай хан 
1771 ж болған окиға ,абылай түркістанда үш жүздің ханы болып сайланды
1771 ж орта жүзді ханы әбілм қайты болған кейін хан тағын мұрагер жолмен кім отыру керек еді ,әбілпайыз 
түркі орта жүз ханы әбілм қайты болып дәстүр бойын ақсүйе хан ұлы әбілпайыз емес абылай хан сайла ,1771 ж 
1771 жылы қырғы қайсақ даласы туралы күнде жазба атты қызықты еңбек қалды ,н п рычков
1771 жылы н п рычков орынб жазып қалды еңбегі ," қырғыз қайсақ даласы туралы күнделік жазбалар "
1771 жылы түркі қаласы болған оқиға ,абылай хан сайланды 
1771 жылы түркі қаласы болған оқиға ,абылай хан сайланды 
орынб губерн петерб хабар қазақ рулар арасы қобалжу ерекше байқа ,1773 ж 7 қазан 
көтеілісшілер пресно бекініс троицк гагар редут шабуыл ,1773 ж қазан
көтер шыққан орта жүз қазақ топта пресно бекініс шабуыл жасау талап ,1773 ж қазанда
пугачев манифес арқа сүйег қазақ жайық оң жағасы өтіп малдар жайды ,1773 ж қараша
нұралы өкілі зәбір молда усиха өзені маңын пугачев жолық ,1773 ж қарашаның 17 нен 18не қараған түні
1773 ж құрам орта жүзді қазақ бар көтер қай бекініс алуға жинал ,пресногорьковск 
пугачев нұралы арнай үндеу жолда жер мен суды қазақ қайта уәде беріп қазақ өзіне тарту мақсат ұстан ,1773 ж 20 қыркүйек 
1773 жылы 17 18 қараша усиха өзені бойын пугачев жолық нұралы ханны арнай өкілі ,зәбір молда
